event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A028n_PN4c_00002-3	2	焦っ	e1	A028n_PN4c_00002-3	7	待っ	e2	before
A028n_PN4c_00002-3	7	待っ	e2	A028n_PN4c_00002-4	27	据え置く	e3	vague
A028n_PN4c_00002-4	39	縮小	e5	A028n_PN4c_00002-4	43	打ち出さ	e6	after
A028n_PN4c_00002-4	43	打ち出さ	e6	A028n_PN4c_00002-5	13	違う	e7	before
A028n_PN4c_00002-5	13	違う	e7	A028n_PN4c_00002-5	16	検証	e8	after
A028n_PN4c_00002-8	11	抱え	e12	A028n_PN4c_00002-8	13	続け	e13	equal
A028n_PN4c_00002-9	23	引き下げ	e16	A028n_PN4c_00002-9	33	適用	e17	equal
A028n_PN4c_00002-9	33	適用	e17	A028n_PN4c_00002-9	58	下がる	e18	before
A028n_PN4c_00002-10	39	減る	e19	A028n_PN4c_00002-11	25	減り	e20	before
A028n_PN4c_00002-11	25	減り	e20	A028n_PN4c_00002-11	47	なる	e21	before
A028n_PN4c_00002-11	47	なる	e21	A028n_PN4c_00002-13	23	変わっ	e22	vague
A028n_PN4c_00002-13	23	変わっ	e22	A028n_PN4c_00002-14	5	借入れ	e23	after
A028n_PN4c_00002-14	5	借入れ	e23	A028n_PN4c_00002-14	15	返済	e24	before
A028n_PN4c_00002-14	15	返済	e24	A028n_PN4c_00002-14	28	比較	e25	vague
A028n_PN4c_00002-20	13	見	e39	A028n_PN4c_00002-21	7	借り入れ	e40	after
A028n_PN4c_00002-21	7	借り入れ	e40	A028n_PN4c_00002-21	13	違う	e41	before
A028n_PN4c_00002-21	13	違う	e41	A028n_PN4c_00002-21	65	なる	e42	before
A028n_PN4c_00002-23	21	生まれる	e44	A028n_PN4c_00002-25	8	上昇	e45	vague
A028n_PN4c_00002-25	8	上昇	e45	A028n_PN4c_00002-25	21	増え	e46	after
A028n_PN4c_00002-25	34	続い	e48	A028n_PN4c_00002-26	8	向け	e49	contains
A028n_PN4c_00002-26	8	向け	e49	A028n_PN4c_00002-26	13	入居	e50	before
A028n_PN4c_00002-27	15	判断	e55	A028n_PN4c_00002-31	4	組ん	e56	vague
A028n_PN4c_00002-31	4	組ん	e56	A028n_PN4c_00002-31	8	購入	e57	before
A028n_PN4c_00002-32	25	縮小	e60	A028n_PN4c_00002-32	36	なくなる	e61	before
A028n_PN4c_00002-32	36	なくなる	e61	A028n_PN4c_00002-32	60	延長	e62	after
A028n_PN4c_00002-32	74	縮小	e64	A028n_PN4c_00002-32	78	打ち出さ	e65	after
A028n_PN4c_00002-35	29	発売	e67	A028n_PN4c_00002-36	11	新規	e68	starts
A028n_PN4c_00002-38	8	なっ	e71	A028n_PN4c_00002-38	18	免除	e72	before
A028n_PN4c_00002-38	18	免除	e72	A028n_PN4c_00002-40	5	応じ	e73	vague
A028n_PN4c_00002-40	5	応じ	e73	A028n_PN4c_00002-40	14	出る	e74	before
A028n_PN4c_00002-40	14	出る	e74	A028n_PN4c_00002-43	6	応える	e75	vague
