event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A048n_PN1d_00004-4	18	問わ	e2	A048n_PN1d_00004-4	45	開か	e3	before
A048n_PN1d_00004-4	72	し	e7	A048n_PN1d_00004-4	80	言い渡し	e8	before
A048n_PN1d_00004-4	80	言い渡し	e8	A048n_PN1d_00004-4	101	棄却	e9	before
A048n_PN1d_00004-4	101	棄却	e9	A048n_PN1d_00004-5	13	出	e10	identity
A048n_PN1d_00004-5	13	出	e10	A048n_PN1d_00004-6	19	共謀	e11	after
A048n_PN1d_00004-6	19	共謀	e11	A048n_PN1d_00004-6	46	まい	e12	before
A048n_PN1d_00004-6	46	まい	e12	A048n_PN1d_00004-6	60	負わ	e13	before
A048n_PN1d_00004-6	60	負わ	e13	A048n_PN1d_00004-7	10	乗せ	e14	after
A048n_PN1d_00004-7	10	乗せ	e14	A048n_PN1d_00004-7	15	運転	e15	before
A048n_PN1d_00004-7	15	運転	e15	A048n_PN1d_00004-7	20	同行	e16	equal
A048n_PN1d_00004-7	20	同行	e16	A048n_PN1d_00004-7	31	防ぐ	e17	before
A048n_PN1d_00004-7	31	防ぐ	e17	A048n_PN1d_00004-8	12	かけ	e18	before
A048n_PN1d_00004-8	12	かけ	e18	A048n_PN1d_00004-8	31	かかわっ	e19	equal
A048n_PN1d_00004-8	31	かかわっ	e19	A048n_PN1d_00004-9	1	漂う	e20	before
A048n_PN1d_00004-9	1	漂う	e20	A048n_PN1d_00004-11	13	占める	e21	during
A048n_PN1d_00004-11	13	占める	e21	A048n_PN1d_00004-11	30	迎え	e22	contains
A048n_PN1d_00004-11	30	迎え	e22	A048n_PN1d_00004-11	43	追わ	e23	meets
A048n_PN1d_00004-11	43	追わ	e23	A048n_PN1d_00004-12	7	通関	e24	contains
A048n_PN1d_00004-12	7	通関	e24	A048n_PN1d_00004-13	9	始まり	e25	after
A048n_PN1d_00004-13	9	始まり	e25	A048n_PN1d_00004-13	14	入る	e26	before
A048n_PN1d_00004-13	14	入る	e26	A048n_PN1d_00004-13	22	移る	e27	before
A048n_PN1d_00004-13	22	移る	e27	A048n_PN1d_00004-14	13	運ば	e28	during
A048n_PN1d_00004-15	38	いう	e32	A048n_PN1d_00004-20	49	見つかっ	e33	vague
A048n_PN1d_00004-20	49	見つかっ	e33	A048n_PN1d_00004-20	60	早	e34	before
A048n_PN1d_00004-22	31	見つけ	e38	A048n_PN1d_00004-22	39	通報	e39	before
A048n_PN1d_00004-22	39	通報	e39	A048n_PN1d_00004-23	2	駆けつけ	e40	before
A048n_PN1d_00004-23	2	駆けつけ	e40	A048n_PN1d_00004-24	15	連絡	e41	before
A048n_PN1d_00004-24	15	連絡	e41	A048n_PN1d_00004-24	20	求め	e42	equal
A048n_PN1d_00004-24	20	求め	e42	A048n_PN1d_00004-25	15	集まり	e43	before
A048n_PN1d_00004-25	15	集まり	e43	A048n_PN1d_00004-25	25	旋回	e44	equal
A048n_PN1d_00004-26	12	取り上げ	e48	A048n_PN1d_00004-26	21	見つかっ	e49	before
A048n_PN1d_00004-28	4	お	e51	A048n_PN1d_00004-28	18	集まっ	e52	after
A048n_PN1d_00004-28	18	集まっ	e52	A048n_PN1d_00004-28	24	説明	e53	before
A048n_PN1d_00004-28	24	説明	e53	A048n_PN1d_00004-28	27	一	e54	before
A048n_PN1d_00004-28	27	一	e54	A048n_PN1d_00004-29	17	み	e55	before
A048n_PN1d_00004-29	17	み	e55	A048n_PN1d_00004-30	5	落ち	e56	after
A048n_PN1d_00004-30	5	落ち	e56	A048n_PN1d_00004-30	8	はい上がれ	e57	before
A048n_PN1d_00004-30	8	はい上がれ	e57	A048n_PN1d_00004-30	10	なっ	e58	equal
