event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A036n_PN2b_00003-4	10	発生	e1	A036n_PN2b_00003-5	10	締め出さ	e2	after
A036n_PN2b_00003-5	10	締め出さ	e2	A036n_PN2b_00003-5	25	頼る	e3	before
A036n_PN2b_00003-5	25	頼る	e3	A036n_PN2b_00003-5	35	し	e4	contains
A036n_PN2b_00003-5	35	し	e4	A036n_PN2b_00003-7	7	なっ	e5	after
A036n_PN2b_00003-7	7	なっ	e5	A036n_PN2b_00003-8	7	悼む	e6	before
A036n_PN2b_00003-8	7	悼む	e6	A036n_PN2b_00003-8	11	置か	e7	equal
A036n_PN2b_00003-8	11	置か	e7	A036n_PN2b_00003-8	19	止める	e8	before
A036n_PN2b_00003-8	19	止める	e8	A036n_PN2b_00003-9	7	ほほ笑ん	e9	after
A036n_PN2b_00003-9	7	ほほ笑ん	e9	A036n_PN2b_00003-9	15	言わ	e10	before
A036n_PN2b_00003-9	28	添え	e12	A036n_PN2b_00003-10	27	飲ん	e13	after
A036n_PN2b_00003-10	27	飲ん	e13	A036n_PN2b_00003-11	6	起き	e14	before
A036n_PN2b_00003-11	6	起き	e14	A036n_PN2b_00003-11	9	分から	e15	before
A036n_PN2b_00003-13	3	仕込ま	e17	A036n_PN2b_00003-13	10	食い込ん	e18	before
A036n_PN2b_00003-13	10	食い込ん	e18	A036n_PN2b_00003-14	1	逃げる	e19	before
A036n_PN2b_00003-14	4	倒れ	e20	A036n_PN2b_00003-15	8	受け	e21	after
A036n_PN2b_00003-15	8	受け	e21	A036n_PN2b_00003-16	20	し	e22	after
A036n_PN2b_00003-19	19	残る	e24	A036n_PN2b_00003-19	33	送金	e25	contains
A036n_PN2b_00003-20	30	推計	e26	A036n_PN2b_00003-21	3	目指す	e27	during
A036n_PN2b_00003-21	3	目指す	e27	A036n_PN2b_00003-21	16	乗り	e28	after
A036n_PN2b_00003-21	16	乗り	e28	A036n_PN2b_00003-21	19	成長	e29	before
A036n_PN2b_00003-21	41	ある	e32	A036n_PN2b_00003-22	7	働く	e33	contains
A036n_PN2b_00003-22	7	働く	e33	A036n_PN2b_00003-22	19	来	e34	after
A036n_PN2b_00003-23	13	働け	e37	A036n_PN2b_00003-23	15	なっ	e38	equal
A036n_PN2b_00003-23	28	増し	e40	A036n_PN2b_00003-24	8	巻き込ま	e41	before
A036n_PN2b_00003-24	23	帰る	e42	A036n_PN2b_00003-25	31	出かけ	e43	after
A036n_PN2b_00003-25	31	出かけ	e43	A036n_PN2b_00003-25	36	募集	e44	before
A036n_PN2b_00003-25	36	募集	e44	A036n_PN2b_00003-27	8	追い出さ	e45	after
A036n_PN2b_00003-27	8	追い出さ	e45	A036n_PN2b_00003-27	17	嫌う	e46	during
A036n_PN2b_00003-27	17	嫌う	e46	A036n_PN2b_00003-27	21	働く	e47	contains
A036n_PN2b_00003-27	44	失い	e50	A036n_PN2b_00003-27	46	破産	e51	before
A036n_PN2b_00003-27	46	破産	e51	A036n_PN2b_00003-27	52	主張	e52	after
A036n_PN2b_00003-27	52	主張	e52	A036n_PN2b_00003-28	4	受け	e53	after
A036n_PN2b_00003-28	4	受け	e53	A036n_PN2b_00003-28	17	報じ	e54	before
A036n_PN2b_00003-28	17	報じ	e54	A036n_PN2b_00003-28	21	集め	e55	before
A036n_PN2b_00003-28	21	集め	e55	A036n_PN2b_00003-29	13	目指し	e56	before
A036n_PN2b_00003-29	13	目指し	e56	A036n_PN2b_00003-30	11	なら	e57	during
A036n_PN2b_00003-30	11	なら	e57	A036n_PN2b_00003-31	3	居残っ	e58	contains
A036n_PN2b_00003-31	3	居残っ	e58	A036n_PN2b_00003-31	7	続ける	e59	contains
A036n_PN2b_00003-31	7	続ける	e59	A036n_PN2b_00003-31	17	つぶやい	e60	after
A036n_PN2b_00003-31	17	つぶやい	e60	A036n_PN2b_00003-32	6	ほほ笑ん	e61	vague
A036n_PN2b_00003-32	6	ほほ笑ん	e61	A036n_PN2b_00003-32	14	言わ	e62	before
A036n_PN2b_00003-36	15	代わっ	e65	A036n_PN2b_00003-36	20	仮	e66	equal
A036n_PN2b_00003-36	20	仮	e66	A036n_PN2b_00003-36	26	なっ	e67	before
A036n_PN2b_00003-36	26	なっ	e67	A036n_PN2b_00003-36	55	引き渡し	e68	after
A036n_PN2b_00003-36	55	引き渡し	e68	A036n_PN2b_00003-36	58	述べ	e69	before
