event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A049n_PN1e_00004-5	12	浴びる	e4	A049n_PN1e_00004-5	21	続い	e5	before
A049n_PN1e_00004-5	21	続い	e5	A049n_PN1e_00004-5	26	あふれる	e6	before
A049n_PN1e_00004-5	26	あふれる	e6	A049n_PN1e_00004-5	29	見せ	e7	equal
A049n_PN1e_00004-5	29	見せ	e7	A049n_PN1e_00004-7	3	突き上げる	e8	contains
A049n_PN1e_00004-7	3	突き上げる	e8	A049n_PN1e_00004-7	8	当たり	e9	equal
A049n_PN1e_00004-8	4	寄せ付け	e11	A049n_PN1e_00004-9	2	止まら	e12	after
A049n_PN1e_00004-9	2	止まら	e12	A049n_PN1e_00004-9	5	攻めよう	e13	equal
A049n_PN1e_00004-10	6	出	e15	A049n_PN1e_00004-12	10	挙げ	e16	after
A049n_PN1e_00004-12	10	挙げ	e16	A049n_PN1e_00004-12	16	つかん	e17	before
A049n_PN1e_00004-12	16	つかん	e17	A049n_PN1e_00004-14	18	ない	e18	before
A049n_PN1e_00004-14	18	ない	e18	A049n_PN1e_00004-14	28	物	e19	equal
A049n_PN1e_00004-14	28	物	e19	A049n_PN1e_00004-15	14	なら	e20	before
A049n_PN1e_00004-15	14	なら	e20	A049n_PN1e_00004-15	16	なっ	e21	equal
A049n_PN1e_00004-15	16	なっ	e21	A049n_PN1e_00004-16	12	積ん	e22	vague
A049n_PN1e_00004-19	3	昇進	e27	A049n_PN1e_00004-19	14	見せつけ	e28	before
A049n_PN1e_00004-24	4	当たっ	e33	A049n_PN1e_00004-24	8	攻め	e34	before
A049n_PN1e_00004-24	8	攻め	e34	A049n_PN1e_00004-24	11	回り込もう	e35	before
A049n_PN1e_00004-24	11	回り込もう	e35	A049n_PN1e_00004-24	13	する	e36	equal
A049n_PN1e_00004-24	13	する	e36	A049n_PN1e_00004-24	18	押し出し	e37	before
A049n_PN1e_00004-25	12	なっ	e40	A049n_PN1e_00004-29	11	押し出し	e41	vague
A049n_PN1e_00004-32	16	いる	e43	A049n_PN1e_00004-32	18	思っ	e44	after
A049n_PN1e_00004-32	18	思っ	e44	A049n_PN1e_00004-32	27	上がら	e45	before
A049n_PN1e_00004-32	27	上がら	e45	A049n_PN1e_00004-33	7	着け	e46	before
A049n_PN1e_00004-33	7	着け	e46	A049n_PN1e_00004-33	16	見える	e47	equal
A049n_PN1e_00004-33	16	見える	e47	A049n_PN1e_00004-33	18	いう	e48	before
A049n_PN1e_00004-33	18	いう	e48	A049n_PN1e_00004-34	6	なくなる	e49	before
A049n_PN1e_00004-34	6	なくなる	e49	A049n_PN1e_00004-35	3	頑張り	e50	during
A049n_PN1e_00004-35	3	頑張り	e50	A049n_PN1e_00004-39	26	発表	e51	after
A049n_PN1e_00004-39	26	発表	e51	A049n_PN1e_00004-40	15	満たし	e52	after
A049n_PN1e_00004-40	15	満たし	e52	A049n_PN1e_00004-40	28	落ち	e53	before
A049n_PN1e_00004-40	34	実施	e55	A049n_PN1e_00004-40	41	通過	e56	before
A049n_PN1e_00004-40	41	通過	e56	A049n_PN1e_00004-40	70	パス	e57	before
A049n_PN1e_00004-50	25	対戦	e59	A049n_PN1e_00004-50	37	快勝	e60	before
A049n_PN1e_00004-50	37	快勝	e60	A049n_PN1e_00004-50	45	伸ばし	e61	meets
A049n_PN1e_00004-50	45	伸ばし	e61	A049n_PN1e_00004-51	9	リード	e62	after
A049n_PN1e_00004-51	9	リード	e62	A049n_PN1e_00004-51	22	登場	e63	before
A049n_PN1e_00004-51	22	登場	e63	A049n_PN1e_00004-51	32	出場	e64	equal
A049n_PN1e_00004-54	25	対戦	e66	A049n_PN1e_00004-54	32	引き分け	e67	before
A049n_PN1e_00004-54	32	引き分け	e67	A049n_PN1e_00004-55	9	外れ	e68	after
A049n_PN1e_00004-55	9	外れ	e68	A049n_PN1e_00004-55	22	出場	e69	before
A049n_PN1e_00004-55	22	出場	e69	A049n_PN1e_00004-55	30	ない	e70	before
A049n_PN1e_00004-55	33	終わっ	e71	A049n_PN1e_00004-59	25	行い	e72	after
A049n_PN1e_00004-59	25	行い	e72	A049n_PN1e_00004-59	49	上昇	e73	before
A049n_PN1e_00004-59	49	上昇	e73	A049n_PN1e_00004-64	36	行い	e74	before
