event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A042n_PN4g_00003-4	2	通じ	e1	A042n_PN4g_00003-4	5	取り戻す	e2	before
A042n_PN4g_00003-4	5	取り戻す	e2	A042n_PN4g_00003-5	6	受賞	e3	before
A042n_PN4g_00003-5	6	受賞	e3	A042n_PN4g_00003-6	3	見つけ	e4	after
A042n_PN4g_00003-6	3	見つけ	e4	A042n_PN4g_00003-6	4	救わ	e5	before
A042n_PN4g_00003-6	4	救わ	e5	A042n_PN4g_00003-7	8	重ね	e6	after
A042n_PN4g_00003-7	8	重ね	e6	A042n_PN4g_00003-7	16	なっ	e7	before
A042n_PN4g_00003-7	16	なっ	e7	A042n_PN4g_00003-9	11	認め	e8	after
A042n_PN4g_00003-15	2	言っ	e15	A042n_PN4g_00003-15	6	行く	e16	before
A042n_PN4g_00003-15	6	行く	e16	A042n_PN4g_00003-15	9	ぐずっ	e17	after
A042n_PN4g_00003-17	9	なっ	e20	A042n_PN4g_00003-18	3	連れ	e21	before
A042n_PN4g_00003-18	3	連れ	e21	A042n_PN4g_00003-18	5	いく	e22	equal
A042n_PN4g_00003-18	5	いく	e22	A042n_PN4g_00003-18	9	いか	e23	during
A042n_PN4g_00003-19	11	思っ	e25	A042n_PN4g_00003-19	18	分かる	e26	before
A042n_PN4g_00003-19	18	分かる	e26	A042n_PN4g_00003-19	21	し	e27	equal
A042n_PN4g_00003-19	21	し	e27	A042n_PN4g_00003-20	13	なっ	e28	after
A042n_PN4g_00003-20	13	なっ	e28	A042n_PN4g_00003-21	5	追わ	e29	before
A042n_PN4g_00003-21	5	追わ	e29	A042n_PN4g_00003-22	6	読み	e30	contains
A042n_PN4g_00003-22	10	相談	e31	A042n_PN4g_00003-24	7	そろっ	e32	before
A042n_PN4g_00003-24	7	そろっ	e32	A042n_PN4g_00003-24	9	渡米	e33	equal
A042n_PN4g_00003-24	9	渡米	e33	A042n_PN4g_00003-25	15	持っ	e34	before
A042n_PN4g_00003-25	15	持っ	e34	A042n_PN4g_00003-26	3	送っ	e35	after
A042n_PN4g_00003-26	3	送っ	e35	A042n_PN4g_00003-26	16	並ぶ	e36	before
A042n_PN4g_00003-26	16	並ぶ	e36	A042n_PN4g_00003-26	19	むさぼり読ん	e37	contains
A042n_PN4g_00003-26	19	むさぼり読ん	e37	A042n_PN4g_00003-27	3	行動	e38	vague
A042n_PN4g_00003-27	12	連れ出す	e40	A042n_PN4g_00003-27	20	食い入る	e41	before
A042n_PN4g_00003-27	20	食い入る	e41	A042n_PN4g_00003-27	23	見つめ	e42	equal
A042n_PN4g_00003-27	23	見つめ	e42	A042n_PN4g_00003-28	14	でき	e43	before
A042n_PN4g_00003-28	14	でき	e43	A042n_PN4g_00003-28	21	出す	e44	before
A042n_PN4g_00003-28	21	出す	e44	A042n_PN4g_00003-28	24	言っ	e45	after
A042n_PN4g_00003-28	24	言っ	e45	A042n_PN4g_00003-29	4	加え	e46	vague
A042n_PN4g_00003-29	13	繰り返す	e48	A042n_PN4g_00003-30	4	通っ	e49	contains
A042n_PN4g_00003-31	6	書く	e51	A042n_PN4g_00003-31	9	なっ	e52	equal
A042n_PN4g_00003-32	17	書く	e54	A042n_PN4g_00003-32	20	表現	e55	equal
A042n_PN4g_00003-32	20	表現	e55	A042n_PN4g_00003-32	31	振り返る	e56	before
A042n_PN4g_00003-32	31	振り返る	e56	A042n_PN4g_00003-33	6	求め	e57	after
A042n_PN4g_00003-33	6	求め	e57	A042n_PN4g_00003-33	8	き	e58	equal
A042n_PN4g_00003-33	8	き	e58	A042n_PN4g_00003-33	20	誘っ	e59	before
A042n_PN4g_00003-33	20	誘っ	e59	A042n_PN4g_00003-35	11	紹介	e60	before
A042n_PN4g_00003-35	11	紹介	e60	A042n_PN4g_00003-35	16	飲ま	e61	before
A042n_PN4g_00003-36	5	行き	e63	A042n_PN4g_00003-36	16	交わす	e64	before
A042n_PN4g_00003-36	16	交わす	e64	A042n_PN4g_00003-36	20	安心	e65	contains
A042n_PN4g_00003-38	5	書き	e67	A042n_PN4g_00003-38	9	ある	e68	equal
A042n_PN4g_00003-38	9	ある	e68	A042n_PN4g_00003-39	1	要ら	e69	contains
A042n_PN4g_00003-39	1	要ら	e69	A042n_PN4g_00003-39	4	削れ	e70	before
A042n_PN4g_00003-39	4	削れ	e70	A042n_PN4g_00003-39	6	言う	e71	equal
A042n_PN4g_00003-40	8	言い	e73	A042n_PN4g_00003-40	18	傾け	e74	before
A042n_PN4g_00003-40	18	傾け	e74	A042n_PN4g_00003-41	3	書く	e75	vague
A042n_PN4g_00003-41	3	書く	e75	A042n_PN4g_00003-41	13	探る	e76	equal
A042n_PN4g_00003-42	12	評価	e79	A042n_PN4g_00003-42	20	支え	e80	equal
A042n_PN4g_00003-42	20	支え	e80	A042n_PN4g_00003-43	7	書き込ま	e81	contains
A042n_PN4g_00003-44	19	飛び込ん	e86	A042n_PN4g_00003-44	21	き	e87	equal
A042n_PN4g_00003-45	14	推さ	e89	A042n_PN4g_00003-45	19	喜ん	e90	before
A042n_PN4g_00003-45	19	喜ん	e90	A042n_PN4g_00003-47	13	飲む	e91	after
A042n_PN4g_00003-47	13	飲む	e91	A042n_PN4g_00003-47	23	入っ	e92	after
A042n_PN4g_00003-47	23	入っ	e92	A042n_PN4g_00003-48	4	駆け付け	e93	before
A042n_PN4g_00003-48	4	駆け付け	e93	A042n_PN4g_00003-48	10	見守っ	e94	before
A042n_PN4g_00003-48	10	見守っ	e94	A042n_PN4g_00003-49	9	合い	e95	before
A042n_PN4g_00003-49	9	合い	e95	A042n_PN4g_00003-49	17	掛ける	e96	before
A042n_PN4g_00003-49	17	掛ける	e96	A042n_PN4g_00003-49	24	言っ	e97	before
A042n_PN4g_00003-49	37	見せ	e99	A042n_PN4g_00003-50	25	出版	e100	after
A042n_PN4g_00003-51	8	過ごさ	e104	A042n_PN4g_00003-51	25	思う	e105	before
A042n_PN4g_00003-51	25	思う	e105	A042n_PN4g_00003-52	4	触れる	e106	after
A042n_PN4g_00003-52	4	触れる	e106	A042n_PN4g_00003-52	7	与え	e107	after
A042n_PN4g_00003-52	7	与え	e107	A042n_PN4g_00003-52	13	見つけ	e108	before
A042n_PN4g_00003-52	13	見つけ	e108	A042n_PN4g_00003-52	17	救わ	e109	before
A042n_PN4g_00003-52	17	救わ	e109	A042n_PN4g_00003-54	15	暮らし	e110	before
A042n_PN4g_00003-54	15	暮らし	e110	A042n_PN4g_00003-55	3	生き	e111	after
A042n_PN4g_00003-55	15	考え	e113	A042n_PN4g_00003-55	19	比べ	e114	before
A042n_PN4g_00003-55	27	落ち着い	e116	A042n_PN4g_00003-56	4	入っ	e117	contains
A042n_PN4g_00003-56	4	入っ	e117	A042n_PN4g_00003-56	8	紹介	e118	before
A042n_PN4g_00003-56	8	紹介	e118	A042n_PN4g_00003-56	17	出掛ける	e119	vague
A042n_PN4g_00003-58	8	酌み	e122	A042n_PN4g_00003-59	7	付き合う	e123	equal
A042n_PN4g_00003-59	7	付き合う	e123	A042n_PN4g_00003-60	5	続く	e124	vague
A042n_PN4g_00003-60	5	続く	e124	A042n_PN4g_00003-60	10	いう	e125	before
A042n_PN4g_00003-60	10	いう	e125	A042n_PN4g_00003-63	8	経	e126	after
A042n_PN4g_00003-63	8	経	e126	A042n_PN4g_00003-65	14	死な	e127	vague
