event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A030n_PN5a_00002-14	9	下ろす	e4	A030n_PN5a_00002-14	17	惜しむ	e5	before
A030n_PN5a_00002-15	35	出演	e7	A030n_PN5a_00002-19	15	募集	e8	during
A030n_PN5a_00002-19	15	募集	e8	A030n_PN5a_00002-20	10	上演	e9	before
A030n_PN5a_00002-22	11	限る	e11	A030n_PN5a_00002-26	11	発表	e12	before
A030n_PN5a_00002-26	11	発表	e12	A030n_PN5a_00002-31	37	見せる	e13	after
A030n_PN5a_00002-31	37	見せる	e13	A030n_PN5a_00002-37	3	行っ	e14	after
A030n_PN5a_00002-37	3	行っ	e14	A030n_PN5a_00002-38	19	あっ	e15	after
A030n_PN5a_00002-38	19	あっ	e15	A030n_PN5a_00002-39	11	する	e16	before
A030n_PN5a_00002-39	15	なっ	e18	A030n_PN5a_00002-40	17	なっ	e19	equal
A030n_PN5a_00002-40	17	なっ	e19	A030n_PN5a_00002-40	31	なっ	e20	equal
A030n_PN5a_00002-40	31	なっ	e20	A030n_PN5a_00002-40	36	見える	e21	contains
A030n_PN5a_00002-40	36	見える	e21	A030n_PN5a_00002-41	14	囲ま	e22	during
A030n_PN5a_00002-41	14	囲ま	e22	A030n_PN5a_00002-41	23	あふれ	e23	contains
A030n_PN5a_00002-41	29	見過ごし	e25	A030n_PN5a_00002-41	59	活動	e26	vague
A030n_PN5a_00002-41	59	活動	e26	A030n_PN5a_00002-42	36	乗り出し	e27	contains
A030n_PN5a_00002-43	14	分別	e29	A030n_PN5a_00002-43	29	リサイクル	e30	before
A030n_PN5a_00002-43	29	リサイクル	e30	A030n_PN5a_00002-43	33	確立	e31	after
A030n_PN5a_00002-43	33	確立	e31	A030n_PN5a_00002-44	4	開発	e32	after
A030n_PN5a_00002-44	4	開発	e32	A030n_PN5a_00002-44	17	見	e33	after
A030n_PN5a_00002-44	17	見	e33	A030n_PN5a_00002-44	25	痛感	e34	before
A030n_PN5a_00002-44	25	痛感	e34	A030n_PN5a_00002-45	6	組ん	e35	before
A030n_PN5a_00002-45	6	組ん	e35	A030n_PN5a_00002-45	22	利用	e36	vague
A030n_PN5a_00002-45	22	利用	e36	A030n_PN5a_00002-46	23	励まさ	e37	contains
A030n_PN5a_00002-46	23	励まさ	e37	A030n_PN5a_00002-46	31	持っ	e38	before
A030n_PN5a_00002-46	31	持っ	e38	A030n_PN5a_00002-46	33	取り組ん	e39	equal
A030n_PN5a_00002-47	9	積み重ね	e41	A030n_PN5a_00002-47	19	し	e42	before
A030n_PN5a_00002-54	5	減らす	e60	A030n_PN5a_00002-54	9	貢献	e61	equal
A030n_PN5a_00002-54	9	貢献	e61	A030n_PN5a_00002-54	18	急が	e62	after
A030n_PN5a_00002-54	18	急が	e62	A030n_PN5a_00002-56	3	受け	e63	vague
A030n_PN5a_00002-56	3	受け	e63	A030n_PN5a_00002-58	5	嫌気	e64	after
A030n_PN5a_00002-58	9	始まっ	e66	A030n_PN5a_00002-59	14	与える	e67	before
A030n_PN5a_00002-59	14	与える	e67	A030n_PN5a_00002-59	17	見極めよう	e68	after
A030n_PN5a_00002-59	17	見極めよう	e68	A030n_PN5a_00002-59	19	する	e69	equal
A030n_PN5a_00002-59	34	振れ	e72	A030n_PN5a_00002-59	52	なり	e73	before
A030n_PN5a_00002-59	52	なり	e73	A030n_PN5a_00002-59	54	続落	e74	before
A030n_PN5a_00002-59	54	続落	e74	A030n_PN5a_00002-61	22	開業	e75	vague
