event1_id	event2_id	reltype
e1	e2	after
e2	e3	before
e3	e4	before
e4	e5	after
e5	e6	before
e6	e7	before
e7	e8	before
e8	e9	during
e11	e12	before
e12	e13	during
e13	e14	contains
e14	e15	after
e15	e16	vague
e16	e17	before
e17	e18	after
e18	e19	before
e19	e20	vague
e22	e23	before
e25	e26	before
e26	e27	after
e27	e28	vague
e30	e31	equal
e31	e32	after
e32	e33	before
e34	e35	after
e35	e36	after
e40	e41	before
e45	e46	vague
e46	e47	contains
e47	e48	after
e50	e51	vague
e51	e52	before
e52	e53	vague
e53	e54	after
