event1_id	event2_id	reltype
e2	e3	after
e3	e4	before
e4	e5	before
e5	e6	before
e6	e7	before
e7	e8	before
e8	e9	during
e9	e10	contains
e12	e13	before
e14	e15	after
e15	e16	during
e16	e17	meets
e17	e18	before
e18	e19	before
e19	e20	after
e20	e21	before
e22	e23	during
e23	e24	equal
e24	e25	contains
e25	e26	before
e33	e34	before
e34	e35	is_included
e35	e36	before
e36	e37	before
e37	e38	before
e39	e40	after
e40	e41	before
e41	e42	before
e42	e43	before
e43	e44	after
e44	e45	before
e45	e46	before
e46	e47	after
e49	e50	after
e50	e51	contains
e51	e52	before
e52	e53	before
e53	e54	after
e54	e55	before
e55	e56	after
e56	e57	before
e57	e58	before
e58	e59	before
e59	e60	before
e60	e61	after
e63	e64	after
e64	e65	before
e65	e66	contains
e68	e69	before
e70	e71	before
e71	e72	after
e72	e73	before
e75	e76	before
e76	e77	contains
e77	e78	before
e78	e79	after
