event1_id	event2_id	reltype
e1	e2	after
e2	e3	before
e3	e4	after
e6	e7	after
e7	e8	before
e8	e9	after
e9	e10	after
e10	e11	before
e11	e12	meets
e12	e13	during
e13	e14	contains
e14	e15	vague
e15	e16	before
e21	e22	contains
e22	e23	before
e23	e24	before
e27	e28	vague
e28	e29	before
e29	e30	after
e37	e38	after
e38	e39	equal
e39	e40	after
e40	e41	equal
e44	e45	before
e45	e46	meets
e50	e51	before
e51	e52	equal
e53	e54	during
e55	e56	contains
e57	e58	vague
e58	e59	during
e59	e60	contains
e60	e61	after
e61	e62	before
e62	e63	before
e63	e64	after
e64	e65	before
