event1_id	event2_id	reltype
e2	e3	before
e7	e8	before
e8	e9	before
e9	e10	identity
e10	e11	after
e11	e12	before
e12	e13	before
e13	e14	after
e14	e15	before
e15	e16	equal
e16	e17	before
e17	e18	before
e18	e19	equal
e19	e20	before
e20	e21	during
e21	e22	contains
e22	e23	meets
e23	e24	contains
e24	e25	after
e25	e26	before
e26	e27	before
e27	e28	during
e32	e33	vague
e33	e34	before
e38	e39	before
e39	e40	before
e40	e41	before
e41	e42	equal
e42	e43	before
e43	e44	equal
e48	e49	before
e51	e52	after
e52	e53	before
e53	e54	before
e54	e55	before
e55	e56	after
e56	e57	before
e57	e58	equal
