event1_id	event2_id	reltype
e1	e2	after
e2	e3	before
e3	e4	before
e4	e5	vague
e5	e6	equal
e6	e7	equal
e9	e10	during
e10	e11	contains
e11	e12	meets
e12	e13	before
e14	e15	vague
e15	e16	is_included
e18	e19	after
e19	e20	contains
e20	e21	before
e25	e26	vague
e26	e27	after
e27	e28	before
e28	e29	equal
e29	e30	equal
e30	e31	vague
e31	e32	equal
e33	e34	before
e34	e35	after
e35	e36	before
e38	e39	contains
e39	e40	before
e40	e41	vague
e43	e44	before
e44	e45	during
e47	e48	contains
e51	e52	vague
e54	e55	meets
e55	e56	after
e59	e60	before
e60	e61	before
e61	e62	during
e62	e63	contains
e65	e66	after
e66	e67	before
e67	e68	after
e68	e69	before
e69	e70	before
e73	e74	vague
e74	e75	before
e75	e76	after
e76	e77	equal
e83	e84	before
e84	e85	before
e88	e89	vague
e89	e90	vague
e90	e91	equal
e97	e98	after
e98	e99	after
e99	e100	after
e100	e101	before
e106	e107	before
e107	e108	during
e110	e111	contains
e111	e112	vague
e112	e113	equal
e113	e114	vague
e114	e115	contains
e119	e120	after
e120	e121	before
e121	e122	vague
e122	e123	contains
e123	e124	before
e128	e129	vague
e129	e130	vague
e130	e131	after
e131	e132	before
e132	e133	after
e135	e136	vague
e136	e137	after
e137	e138	before
e146	e147	vague
e147	e148	vague
e148	e149	before
e149	e150	before
e151	e152	contains
e155	e156	after
e156	e157	equal
e157	e158	vague
e158	e159	during
e159	e160	vague
e162	e163	meets
e165	e166	equal
e168	e169	before
e169	e170	before
e172	e173	after
e173	e174	vague
e176	e177	contains
e177	e178	contains
e178	e179	contains
e179	e180	vague
e180	e181	during
e181	e182	contains
e187	e188	before
e190	e191	before
e191	e192	after
e192	e193	meets
