event1_id	event2_id	reltype
e3	e4	after
e4	e5	during
e5	e6	contains
e6	e7	during
e9	e10	after
e10	e11	after
e13	e14	before
e14	e15	after
e15	e16	during
e16	e17	contains
e17	e18	after
e18	e19	before
e19	e20	after
e20	e21	before
e21	e22	before
e22	e23	during
e23	e24	before
e24	e25	after
e25	e26	before
e26	e27	after
e27	e28	vague
e28	e29	before
e29	e30	vague
e32	e33	vague
e33	e34	after
e34	e35	vague
e35	e36	after
e36	e37	contains
e37	e38	contains
e38	e39	after
e39	e40	before
e40	e41	before
e41	e42	meets
e42	e43	before
e43	e44	during
e44	e45	contains
e45	e46	meets
e48	e49	during
e49	e50	contains
e50	e51	before
e51	e52	before
e52	e53	after
e53	e54	before
e54	e55	during
e55	e56	contains
e56	e57	during
e59	e60	before
e60	e61	after
e61	e62	vague
e62	e63	after
e63	e64	before
