event1_id	event2_id	reltype
e3	e4	after
e4	e5	before
e5	e6	during
e7	e8	contains
e8	e9	after
e9	e10	after
e12	e13	before
e13	e14	before
e14	e15	during
e15	e16	after
e16	e17	before
e17	e18	vague
e18	e19	before
e19	e20	before
e20	e21	vague
e21	e22	vague
e24	e25	equal
e25	e26	vague
e27	e28	vague
e28	e29	equal
e29	e30	before
e34	e35	after
e35	e36	contains
e36	e37	before
e37	e38	after
e38	e39	before
e39	e40	after
e42	e43	after
e45	e46	contains
e51	e52	after
e54	e55	after
e55	e56	before
e56	e57	during
e57	e58	contains
e58	e59	before
e60	e61	after
e61	e62	before
e63	e64	vague
e65	e66	vague
e66	e67	vague
e67	e68	before
e68	e69	equal
e69	e70	before
e79	e80	equal
e81	e82	before
e82	e83	before
e83	e84	meets
e86	e87	vague
e87	e88	equal
