event1_id	event2_id	reltype
e1	e2	after
e2	e3	after
e3	e4	before
e6	e7	before
e12	e13	after
e13	e14	contains
e14	e15	during
e19	e20	before
e20	e21	before
e21	e22	after
e22	e23	before
e25	e26	before
e26	e27	before
e27	e28	before
e28	e29	before
e29	e30	after
e30	e31	before
e36	e37	before
e37	e38	before
e38	e39	equal
e39	e40	after
e40	e41	before
e43	e44	before
e44	e45	after
e45	e46	after
e46	e47	before
e47	e48	equal
e54	e55	equal
e55	e56	before
e56	e57	equal
e57	e58	before
e58	e59	before
e59	e60	before
e60	e61	after
e61	e62	before
e62	e63	before
e63	e64	before
e64	e65	before
e67	e68	before
e68	e69	before
e69	e70	after
e70	e71	contains
e71	e72	equal
e72	e73	before
e73	e74	after
e74	e75	before
e75	e76	before
e76	e77	before
e78	e79	after
e79	e80	vague
e80	e81	vague
e81	e82	during
e82	e83	after
e83	e84	before
e84	e85	before
e85	e86	before
e86	e87	after
e91	e92	equal
e92	e93	before
e93	e94	before
e94	e95	after
e95	e96	after
e96	e97	contains
e97	e98	after
e99	e100	before
e100	e101	after
e101	e102	before
e103	e104	after
e104	e105	before
e105	e106	after
e106	e107	before
e109	e110	after
e110	e111	after
e111	e112	before
e112	e113	before
e115	e116	before
e116	e117	equal
e135	e136	before
e141	e142	before
e142	e143	during
e143	e144	before
e144	e145	during
e147	e148	before
e148	e149	before
e149	e150	after
e150	e151	equal
e151	e152	during
e152	e153	contains
