event1_id	event2_id	reltype
e1	e2	equal
e2	e3	before
e3	e4	after
e4	e5	before
e7	e8	contains
e8	e9	after
e9	e10	after
e10	e11	after
e11	e12	before
e12	e13	before
e13	e14	after
e14	e15	contains
e15	e16	during
e18	e19	before
e19	e20	after
e24	e25	contains
e25	e26	during
e28	e29	after
e32	e33	before
e33	e34	after
e34	e35	before
e35	e36	after
e36	e37	before
e39	e40	before
e40	e41	after
e41	e42	after
e42	e43	before
e43	e44	before
e44	e45	during
e45	e46	contains
e46	e47	vague
e47	e48	after
e50	e51	equal
e51	e52	vague
e52	e53	after
e55	e56	after
e56	e57	before
e57	e58	after
e58	e59	before
e63	e64	after
e68	e69	vague
e69	e70	after
