event1_id	event2_id	reltype
e1	e2	before
e2	e3	equal
e3	e4	before
e4	e5	before
e5	e6	during
e6	e7	contains
e7	e8	before
e8	e9	after
e10	e11	before
e11	e12	during
e13	e14	equal
e14	e15	before
e15	e16	before
e16	e17	before
e17	e18	identity
e18	e19	before
e19	e20	before
e20	e21	vague
e21	e22	before
e22	e23	after
e25	e26	before
e26	e27	equal
e27	e28	before
e28	e29	before
e31	e32	after
e32	e33	before
e33	e34	before
e34	e35	before
e35	e36	before
e36	e37	before
e37	e38	after
e38	e39	before
e39	e40	before
e40	e41	equal
e41	e42	after
e42	e43	before
e43	e44	before
e44	e45	before
e45	e46	before
e46	e47	equal
e47	e48	before
e48	e49	before
e51	e52	after
e52	e53	equal
e53	e54	contains
e54	e55	after
e55	e56	vague
e57	e58	during
e59	e60	equal
e60	e61	during
