event1_id	event2_id	reltype
e1	e2	contains
e2	e3	meets
e3	e4	before
e4	e5	after
e5	e6	before
e6	e7	after
e7	e8	before
e11	e12	equal
e12	e13	before
e13	e14	before
e14	e15	after
e19	e20	before
e20	e21	after
e21	e22	vague
e24	e25	after
e25	e26	before
e26	e27	after
e27	e28	before
e28	e29	after
e29	e30	vague
e32	e33	before
e33	e34	contains
e40	e41	meets
e42	e43	after
e43	e44	before
e46	e47	finished-by
e49	e50	after
e50	e51	before
e53	e54	after
e54	e55	before
e55	e56	after
e59	e60	before
e62	e63	contains
e63	e64	before
e64	e65	after
e65	e66	after
e66	e67	before
