event1_id	event2_id	reltype
e1	e2	contains
e2	e3	contains
e3	e4	after
e5	e6	before
e9	e10	vague
e10	e11	after
e11	e12	contains
e12	e13	vague
e13	e14	before
e14	e15	contains
e15	e16	equal
e16	e17	during
e18	e19	vague
e19	e20	during
e20	e21	contains
e21	e22	before
e22	e23	equal
e23	e24	during
e24	e25	equal
e25	e26	before
e26	e27	contains
e27	e28	after
e28	e29	contains
e32	e33	before
e33	e34	after
e34	e35	equal
e35	e36	after
e36	e37	before
e37	e38	equal
e41	e42	after
e42	e43	after
e44	e45	before
e49	e50	equal
e50	e51	before
