event1_id	event2_id	reltype
e3	e4	vague
e7	e8	vague
e16	e17	before
e17	e18	before
e18	e19	contains
e19	e20	before
e20	e21	before
e21	e22	vague
e22	e23	vague
e23	e24	before
e24	e25	after
e25	e26	during
e29	e30	after
e30	e31	before
e31	e32	before
e35	e36	before
e36	e37	after
e37	e38	vague
e39	e40	before
e40	e41	before
e41	e42	vague
e45	e46	before
e46	e47	before
e47	e48	before
e48	e49	after
e51	e52	before
e52	e53	before
e53	e54	before
e54	e55	meets
e55	e56	after
e56	e57	before
e59	e60	equal
e60	e61	during
e63	e64	equal
e64	e65	before
e65	e66	before
e66	e67	after
e67	e68	after
e68	e69	before
e69	e70	after
e70	e71	during
e71	e72	contains
e73	e74	equal
e74	e75	contains
e75	e76	before
