event1_id	event2_id	reltype
e2	e3	during
e3	e4	equal
e4	e5	contains
e5	e6	before
e6	e7	vague
e7	e8	vague
e8	e9	after
e9	e10	before
e10	e11	after
e11	e12	after
e15	e16	contains
e16	e17	after
e17	e18	after
e18	e19	before
e23	e24	during
e28	e29	vague
e29	e30	after
e30	e31	equal
e31	e32	equal
e32	e33	before
e33	e34	after
e36	e37	during
e37	e38	contains
e38	e39	during
e42	e43	before
e43	e44	equal
e48	e49	after
e49	e50	before
e50	e51	during
e53	e54	before
e54	e55	contains
e55	e56	contains
e58	e59	before
e59	e60	after
e62	e63	contains
