event1_id	event2_id	reltype
e2	e3	after
e3	e4	before
e6	e7	before
e7	e8	before
e8	e9	after
e9	e10	contains
e14	e15	after
e20	e21	before
e25	e26	vague
e26	e27	before
e27	e28	before
e32	e33	during
e33	e34	contains
e34	e35	before
e38	e39	after
e39	e40	before
e40	e41	vague
e41	e42	during
e42	e43	contains
e45	e46	after
e46	e47	after
e47	e48	before
e48	e49	before
e53	e54	before
e56	e57	before
e59	e60	vague
e60	e61	equal
e61	e62	before
e62	e63	equal
e63	e64	vague
e64	e65	meets
e65	e66	before
e68	e69	during
e69	e70	contains
e73	e74	before
e74	e75	during
e75	e76	equal
e76	e77	vague
e77	e78	before
e78	e79	before
e79	e80	before
e80	e81	before
e82	e83	equal
e87	e88	equal
e88	e89	before
e89	e90	during
e95	e96	before
e96	e97	after
e99	e100	before
e100	e101	before
e101	e102	before
e102	e103	before
e103	e104	before
e104	e105	before
e105	e106	after
e108	e109	equal
e109	e110	before
e110	e111	after
e113	e114	before
e114	e115	before
e115	e116	equal
e116	e117	vague
e120	e121	vague
e123	e124	before
e124	e125	vague
e127	e128	before
e128	e129	after
e129	e130	before
e130	e131	before
e131	e132	after
e136	e137	before
e137	e138	vague
e138	e139	after
e139	e140	before
e140	e141	before
e141	e142	vague
e142	e143	after
e149	e150	after
e150	e151	before
e151	e152	equal
e156	e157	after
e157	e158	before
e158	e159	before
e159	e160	before
e160	e161	before
e161	e162	before
e162	e163	during
e165	e166	before
e166	e167	vague
e167	e168	after
