event1_id	event2_id	reltype
e1	e2	before
e2	e3	before
e3	e4	after
e4	e5	before
e5	e6	after
e6	e7	before
e7	e8	after
e15	e16	before
e16	e17	after
e20	e21	before
e21	e22	equal
e22	e23	during
e25	e26	before
e26	e27	equal
e27	e28	after
e28	e29	before
e29	e30	contains
e31	e32	before
e32	e33	equal
e33	e34	before
e34	e35	after
e35	e36	before
e36	e37	contains
e37	e38	vague
e40	e41	before
e41	e42	equal
e42	e43	before
e43	e44	before
e44	e45	after
e45	e46	vague
e48	e49	contains
e51	e52	equal
e54	e55	equal
e55	e56	before
e56	e57	after
e57	e58	equal
e58	e59	before
e59	e60	before
e60	e61	before
e63	e64	before
e64	e65	contains
e67	e68	equal
e68	e69	contains
e69	e70	before
e70	e71	equal
e73	e74	before
e74	e75	vague
e75	e76	equal
e79	e80	equal
e80	e81	contains
e86	e87	equal
e89	e90	before
e90	e91	after
e91	e92	after
e92	e93	before
e93	e94	before
e94	e95	before
e95	e96	before
e96	e97	before
e99	e100	after
e104	e105	before
e105	e106	after
e106	e107	after
e107	e108	before
e108	e109	before
e109	e110	before
e110	e111	after
e113	e114	before
e116	e117	contains
e117	e118	before
e118	e119	vague
e122	e123	equal
e123	e124	vague
e124	e125	before
e125	e126	after
e126	e127	vague
