event1_id	event2_id	reltype
e1	e2	before
e2	e3	before
e3	e4	vague
e4	e5	after
e5	e6	during
e7	e8	before
e8	e9	before
e9	e10	after
e10	e11	before
e11	e12	before
e12	e13	vague
e13	e14	before
e14	e15	before
e15	e16	after
e16	e17	before
e17	e18	before
e18	e19	after
e19	e20	during
e20	e21	vague
e21	e22	before
e22	e23	before
e24	e25	equal
e30	e31	before
e33	e34	before
e34	e35	before
e37	e38	before
e38	e39	before
e39	e40	after
e42	e43	before
e43	e44	after
e44	e45	before
e45	e46	before
e46	e47	before
e47	e48	before
e48	e49	before
e49	e50	meets
e52	e53	contains
e55	e56	during
e56	e57	vague
e57	e58	during
e58	e59	contains
e59	e60	before
e60	e61	before
e61	e62	before
e62	e63	after
e63	e64	before
