event1_id	event2_id	reltype
e1	e2	is_included
e2	e3	includes
e3	e4	after
e5	e6	contains
e8	e9	before
e9	e10	finished-by
e12	e13	after
e15	e16	after
e16	e17	vague
e17	e18	contains
e19	e20	contains
e20	e21	after
e26	e27	vague
e29	e30	during
e30	e31	contains
e37	e38	equal
e38	e39	after
e42	e43	before
e47	e48	contains
e51	e52	before
e52	e53	before
e53	e54	before
e57	e58	after
e58	e59	vague
e59	e60	vague
e60	e61	before
e61	e62	after
e62	e63	before
e63	e64	contains
e78	e79	after
e79	e80	after
e80	e81	before
e81	e82	vague
e82	e83	before
e83	e84	after
e84	e85	before
e90	e91	contains
e93	e94	equal
e97	e98	after
e98	e99	before
e102	e103	after
e103	e104	before
e104	e105	after
e105	e106	before
e110	e111	before
e111	e112	after
e117	e118	equal
e118	e119	contains
e119	e120	equal
e122	e123	before
e124	e125	after
e125	e126	equal
e126	e127	vague
e127	e128	before
e128	e129	equal
e129	e130	before
e130	e131	equal
e131	e132	after
e138	e139	during
e143	e144	contains
e146	e147	before
e147	e148	after
e152	e153	after
e153	e154	equal
e156	e157	contains
e159	e160	vague
e169	e170	contains
e170	e171	equal
e174	e175	after
e178	e179	after
e185	e186	vague
e186	e187	after
e187	e188	before
e188	e189	after
e189	e190	before
e190	e191	meets
e198	e199	contains
e199	e200	after
e200	e201	after
e201	e202	before
e204	e205	meets
e205	e206	before
e206	e207	after
e207	e208	before
e210	e211	meets
e211	e212	after
e212	e213	after
e217	e218	equal
e221	e222	before
e224	e225	equal
e233	e234	contains
e234	e235	meets
