event1_id	event2_id	reltype
e1	e2	before
e2	e3	after
e3	e4	before
e4	e5	during
e7	e8	before
e8	e9	after
e9	e10	equal
e10	e11	before
e11	e12	before
e12	e13	after
e13	e14	before
e19	e20	during
e20	e21	contains
e21	e22	before
e24	e25	before
e25	e26	after
e26	e27	before
e27	e28	contains
e28	e29	before
e29	e30	after
e30	e31	before
e31	e32	before
e32	e33	met-by
e37	e38	contains
e38	e39	before
e39	e40	equal
e40	e41	contains
e41	e42	meets
e42	e43	vague
e43	e44	equal
e44	e45	equal
e45	e46	before
e46	e47	after
e47	e48	before
e48	e49	before
e49	e50	after
e50	e51	after
e51	e52	after
e54	e55	after
e55	e56	after
e56	e57	before
e57	e58	equal
e58	e59	contains
e61	e62	equal
e62	e63	before
e65	e66	after
e66	e67	before
e67	e68	vague
e68	e69	after
e69	e70	equal
e75	e76	vague
e78	e79	after
e79	e80	equal
e80	e81	before
e81	e82	before
e82	e83	before
e84	e85	equal
e85	e86	before
e86	e87	after
e87	e88	before
e88	e89	equal
e89	e90	during
e90	e91	contains
e91	e92	during
e92	e93	contains
e93	e94	before
e94	e95	before
e95	e96	after
e96	e97	contains
e97	e98	before
e98	e99	before
e99	e100	before
e100	e101	after
e101	e102	during
e102	e103	contains
e105	e106	equal
e106	e107	after
e107	e108	before
e108	e109	equal
e109	e110	after
e110	e111	before
e111	e112	after
e116	e117	before
e117	e118	after
e118	e119	before
e119	e120	equal
e120	e121	before
e121	e122	during
e122	e123	contains
e123	e124	before
e126	e127	after
e127	e128	before
e128	e129	before
e129	e130	equal
