event1_id	event2_id	reltype
e1	e2	vague
e4	e5	before
e9	e10	equal
e13	e14	before
e14	e15	before
e15	e16	after
e16	e17	before
e17	e18	during
e18	e19	before
e19	e20	after
e20	e21	before
e21	e22	after
e27	e28	before
e28	e29	after
e30	e31	before
e33	e34	before
e38	e39	vague
e39	e40	contains
e40	e41	before
e52	e53	contains
e53	e54	before
e54	e55	before
e57	e58	before
e58	e59	before
e67	e68	equal
e72	e73	contains
e73	e74	during
e76	e77	before
e77	e78	before
e80	e81	before
e81	e82	before
e82	e83	after
e83	e84	contains
e84	e85	after
e85	e86	before
e86	e87	before
e87	e88	before
e88	e89	after
e91	e92	after
e96	e97	after
e97	e98	during
