event1_id	event2_id	reltype
e1	e2	after
e2	e3	before
e3	e4	before
e4	e5	before
e9	e10	after
e10	e11	before
e11	e12	vague
e12	e13	after
e14	e15	before
e15	e16	after
e19	e20	vague
e20	e21	before
e21	e22	before
e22	e23	after
e23	e24	before
e24	e25	before
e27	e28	equal
e28	e29	vague
e31	e32	after
e32	e33	before
e33	e34	before
e34	e35	after
e35	e36	before
e37	e38	meets
e43	e44	after
e44	e45	before
e45	e46	after
e48	e49	before
e52	e53	during
e53	e54	vague
e54	e55	before
e55	e56	after
e61	e62	contains
e66	e67	contains
e67	e68	before
e68	e69	before
e69	e70	vague
e70	e71	vague
