event1_id	event2_id	reltype
e1	e2	before
e2	e3	after
e5	e6	before
e6	e7	after
e7	e8	before
e10	e11	before
e12	e13	during
e13	e14	equal
e15	e16	after
e16	e17	started-by
e17	e18	before
e18	e19	before
e19	e20	before
e25	e26	after
e28	e29	before
e29	e30	before
e32	e33	equal
e33	e34	before
e34	e35	after
e35	e36	before
e40	e41	contains
e41	e42	before
e42	e43	before
e46	e47	before
e47	e48	equal
e48	e49	after
e49	e50	before
e50	e51	before
e52	e53	equal
e53	e54	vague
e54	e55	contains
e55	e56	after
e58	e59	before
e59	e60	before
e60	e61	after
e62	e63	equal
e63	e64	after
e64	e65	before
e65	e66	after
e68	e69	contains
e69	e70	equal
e70	e71	before
e73	e74	during
e74	e75	contains
e75	e76	before
e76	e77	before
e81	e82	after
e82	e83	contains
e83	e84	before
e84	e85	before
e85	e86	before
e88	e89	after
e91	e92	equal
e94	e95	equal
