event1_id	event2_id	reltype
e1	e2	after
e10	e11	before
e16	e17	during
e18	e19	before
e19	e20	after
e20	e21	before
e21	e22	equal
e22	e23	equal
e23	e24	vague
e30	e31	vague
e37	e38	after
e38	e39	before
e39	e40	after
e40	e41	before
e41	e42	contains
e49	e50	equal
e52	e53	contains
e53	e54	during
e54	e55	vague
e57	e58	equal
e58	e59	after
e59	e60	before
e60	e61	after
e61	e62	before
e63	e64	during
e66	e67	vague
e67	e68	before
e68	e69	during
e70	e71	during
e71	e72	contains
e72	e73	during
e73	e74	contains
e74	e75	after
e75	e76	equal
e76	e77	equal
e77	e78	during
e78	e79	vague
e79	e80	contains
e80	e81	contains
e81	e82	before
e82	e83	vague
e83	e84	before
e84	e85	before
e85	e86	before
e89	e90	contains
e90	e91	vague
e97	e98	before
e105	e106	before
