event1_id	event2_id	reltype
e2	e3	before
e3	e4	equal
e8	e9	before
e15	e16	vague
e18	e19	after
e21	e22	equal
e29	e30	met-by
e30	e31	vague
e31	e32	equal
e35	e36	after
e52	e53	before
e53	e54	after
e54	e55	after
e55	e56	before
e56	e57	vague
e57	e58	after
e66	e67	before
e71	e72	after
e74	e75	before
e75	e76	equal
e80	e81	after
e83	e84	after
e84	e85	vague
e85	e86	after
e93	e94	before
e94	e95	before
e95	e96	after
e96	e97	before
e97	e98	before
e98	e99	after
e99	e100	before
e100	e101	before
e101	e102	before
e103	e104	before
e104	e105	vague
e111	e112	equal
e112	e113	during
e115	e116	contains
e116	e117	contains
e117	e118	during
e120	e121	before
e121	e122	contains
e122	e123	during
e129	e130	contains
e130	e131	vague
e131	e132	before
e132	e133	after
e133	e134	before
e134	e135	before
e135	e136	contains
