event1_id	event2_id	reltype
e1	e2	meets
e2	e3	during
e3	e4	before
e4	e5	after
e5	e6	after
e6	e7	before
e7	e8	during
e8	e9	contains
e9	e10	before
e10	e11	after
e11	e12	after
e12	e13	meets
e13	e14	during
e14	e15	contains
e15	e16	after
e16	e17	meets
e17	e18	before
e18	e19	equal
e19	e20	contains
e20	e21	contains
e24	e25	contains
e30	e31	contains
e32	e33	contains
e36	e37	during
e37	e38	contains
e40	e41	after
e41	e42	equal
e42	e43	contains
e43	e44	before
e44	e45	during
e46	e47	contains
e47	e48	vague
e48	e49	before
e49	e50	met-by
e50	e51	before
e51	e52	meets
e53	e54	after
e54	e55	after
e55	e56	before
e59	e60	before
e62	e63	before
e63	e64	after
e64	e65	contains
e65	e66	during
e66	e67	during
e67	e68	contains
e68	e69	after
e69	e70	before
e74	e75	before
e79	e80	equal
e80	e81	after
e86	e87	before
e87	e88	after
e90	e91	contains
e91	e92	before
e95	e96	before
e98	e99	before
e99	e100	before
e103	e104	before
e104	e105	equal
e105	e106	vague
e106	e107	equal
e109	e110	vague
e110	e111	during
e116	e117	after
e117	e118	during
e118	e119	contains
e122	e123	contains
e123	e124	during
e124	e125	during
e125	e126	equal
e126	e127	equal
e127	e128	contains
e128	e129	equal
e129	e130	vague
e130	e131	after
e131	e132	before
e132	e133	equal
e133	e134	after
e134	e135	before
e135	e136	equal
e136	e137	contains
e137	e138	after
e139	e140	equal
