event1_id	event2_id	reltype
e1	e2	before
e4	e5	after
e7	e8	contains
e14	e15	met-by
e15	e16	before
e16	e17	after
e17	e18	before
e18	e19	before
e24	e25	after
e25	e26	contains
e26	e27	before
e27	e28	meets
e28	e29	before
e29	e30	equal
e30	e31	after
e31	e32	before
e32	e33	before
e33	e34	contains
e38	e39	equal
e39	e40	before
e40	e41	vague
e41	e42	before
e42	e43	during
e43	e44	contains
e46	e47	before
e47	e48	vague
e48	e49	contains
e49	e50	vague
e50	e51	vague
e51	e52	after
e52	e53	before
e53	e54	before
e58	e59	before
e63	e64	after
e64	e65	after
e65	e66	during
e68	e69	contains
e69	e70	before
