event1_id	event2_id	reltype
e4	e5	before
e7	e8	during
e8	e9	before
e11	e12	before
e12	e13	after
e13	e14	after
e14	e15	after
e15	e16	before
e18	e19	equal
e19	e20	equal
e20	e21	contains
e21	e22	during
e22	e23	contains
e25	e26	vague
e26	e27	contains
e29	e30	before
e30	e31	after
e31	e32	after
e32	e33	after
e33	e34	before
e34	e35	before
e35	e36	vague
e36	e37	contains
e37	e38	before
e38	e39	equal
e41	e42	before
e60	e61	equal
e61	e62	after
e62	e63	vague
e63	e64	after
e66	e67	before
e67	e68	after
e68	e69	equal
e72	e73	before
e73	e74	before
e74	e75	vague
