event1_id	event2_id	reltype
e1	e2	vague
e2	e3	during
e3	e4	contains
e4	e5	before
e5	e6	equal
e6	e7	finished-by
e7	e8	before
e8	e9	after
e10	e11	before
e11	e12	after
e12	e13	equal
e13	e14	before
e14	e15	before
e15	e16	before
e16	e17	after
e21	e22	before
e22	e23	after
e23	e24	before
e24	e25	before
e25	e26	after
e26	e27	during
e29	e30	before
e30	e31	after
e31	e32	equal
e32	e33	before
e33	e34	equal
e34	e35	after
e35	e36	equal
e36	e37	after
e37	e38	before
e38	e39	after
e43	e44	after
e44	e45	before
e45	e46	before
e46	e47	before
e47	e48	contains
e48	e49	after
e49	e50	before
e50	e51	after
e51	e52	after
e52	e53	after
e53	e54	before
e54	e55	before
e55	e56	during
e56	e57	contains
e57	e58	before
e58	e59	after
e59	e60	after
e60	e61	before
e61	e62	equal
e62	e63	equal
e63	e64	before
e64	e65	equal
e65	e66	equal
e66	e67	after
e67	e68	after
e69	e70	equal
e70	e71	equal
e71	e72	contains
e72	e73	equal
e75	e76	after
e76	e77	before
e77	e78	after
e78	e79	equal
