event1_id	event2_id	reltype
e1	e2	contains
e2	e3	vague
e3	e4	vague
e4	e5	vague
e5	e6	vague
e6	e7	vague
e7	e8	vague
e12	e13	equal
e13	e14	after
e14	e15	before
e15	e16	after
e18	e19	after
e23	e24	contains
e24	e25	before
e31	e32	during
e32	e33	equal
e33	e34	after
e34	e35	during
e35	e36	contains
e36	e37	after
e37	e38	after
e42	e43	started-by
e45	e46	equal
e46	e47	before
e47	e48	after
e48	e49	before
e51	e52	after
e52	e53	after
e53	e54	before
e54	e55	equal
e55	e56	after
e56	e57	before
e59	e60	equal
e60	e61	vague
e63	e64	after
e68	e69	before
e69	e70	before
e70	e71	after
e71	e72	before
e72	e73	before
e75	e76	after
e76	e77	equal
e77	e78	after
e78	e79	before
e79	e80	contains
e80	e81	after
e81	e82	before
e82	e83	before
e83	e84	after
e84	e85	during
e85	e86	before
e87	e88	before
e88	e89	after
e89	e90	before
e90	e91	equal
e94	e95	contains
e99	e100	before
e100	e101	before
e101	e102	before
e102	e103	equal
e103	e104	after
e104	e105	vague
e105	e106	before
e108	e109	before
e109	e110	before
e110	e111	after
e111	e112	before
e112	e113	after
e113	e114	before
e114	e115	after
e118	e119	equal
e119	e120	before
e120	e121	after
e123	e124	after
e124	e125	after
e125	e126	after
e126	e127	before
e129	e130	after
e132	e133	before
e135	e136	equal
e136	e137	contains
e137	e138	after
e138	e139	vague
e139	e140	meets
e141	e142	after
e142	e143	before
e143	e144	before
e144	e145	after
e145	e146	before
e146	e147	after
e147	e148	before
e148	e149	before
e149	e150	before
e151	e152	equal
e152	e153	after
e153	e154	before
e154	e155	identity
e155	e156	equal
e156	e157	equal
e157	e158	before
e158	e159	contains
e161	e162	after
e162	e163	after
e163	e164	before
e166	e167	before
e167	e168	equal
e168	e169	before
