time_sent_id	time_index	time_word	time_id
A041n_PN3d_00003-3	6	１	t1
A041n_PN3d_00003-6	7	１	t2
A041n_PN3d_00003-7	7	１	t3
A041n_PN3d_00003-7	15	１	t4
A041n_PN3d_00003-8	1	１	t5
A041n_PN3d_00003-8	20	この	t6
A041n_PN3d_00003-12	5	１	t7
A041n_PN3d_00003-13	41	５	
A041n_PN3d_00003-17	5	１	t8
A041n_PN3d_00003-22	1	前日	t9
A041n_PN3d_00003-22	12	４	t10
A041n_PN3d_00003-25	4	夜	
A041n_PN3d_00003-28	4	昨年	t11
A041n_PN3d_00003-29	6	夜	
A041n_PN3d_00003-32	13	先週	t12
A041n_PN3d_00003-44	4	週	t13
A041n_PN3d_00003-45	5	２	
A041n_PN3d_00003-48	25	３	t14
