time_sent_id	time_index	time_word	time_id
A036n_PN2b_00003-4	6	１	t1
A036n_PN2b_00003-9	3	昨日	t2
A036n_PN2b_00003-9	11	今日	t3
A036n_PN2b_00003-10	2	１	t4
A036n_PN2b_00003-10	17	４	t5
A036n_PN2b_00003-16	5	９	t6
A036n_PN2b_00003-19	31	毎月	t7
A036n_PN2b_00003-21	7	９	t8
A036n_PN2b_00003-22	11	２	t9
A036n_PN2b_00003-22	22	１	t10
A036n_PN2b_00003-25	10	５	t11
A036n_PN2b_00003-25	14	３	t12
A036n_PN2b_00003-25	24	月	t13
A036n_PN2b_00003-32	2	昨日	t14
A036n_PN2b_00003-32	10	今日	t15
A036n_PN2b_00003-32	30	１	t16
A036n_PN2b_00003-36	7	２	t17
