time_sent_id	time_index	time_word	time_id
A022n_PN2f_00002-1	1	[JSP]	t1
A022n_PN2f_00002-1	3	２	t2
A022n_PN2f_00002-2	4	きょう	t3
A022n_PN2f_00002-5	17	２	t4
A022n_PN2f_00002-6	4	１日	t5
A022n_PN2f_00002-8	22	２	t6
A022n_PN2f_00002-10	4	４	t7
A022n_PN2f_00002-13	4	翌日	t8
A022n_PN2f_00002-18	5	元日	t9
A022n_PN2f_00002-23	6	１	t10
A022n_PN2f_00002-24	9	１	t11
A022n_PN2f_00002-26	7	１	t12
A022n_PN2f_00002-28	9	１日	t13
A022n_PN2f_00002-28	19	１	t14
A022n_PN2f_00002-28	37	１	t15
A022n_PN2f_00002-29	11	５	t16
A022n_PN2f_00002-30	13	３	t17
A022n_PN2f_00002-31	38	６	t18
A022n_PN2f_00002-37	5	今度	
A022n_PN2f_00002-38	1	４	t19
A022n_PN2f_00002-39	13	４	t20
A022n_PN2f_00002-40	14	１	t21
A022n_PN2f_00002-42	6	４	t22
A022n_PN2f_00002-43	5	今度	
A022n_PN2f_00002-51	13	ほぼ	t23
A022n_PN2f_00002-53	5	今	
A022n_PN2f_00002-64	4	午後	t24
