time_sent_id	time_index	time_word	time_id
A011n_PN4f_00001-6	2	二十	t1
A011n_PN4f_00001-6	27	六	t2
A011n_PN4f_00001-6	51	五	t3
A011n_PN4f_00001-7	1	約	t4
A011n_PN4f_00001-13	23	同日	t5
A011n_PN4f_00001-19	6	二	t6
A011n_PN4f_00001-19	17	当時	
A011n_PN4f_00001-19	19	五	t7
A011n_PN4f_00001-19	29	六	t8
A011n_PN4f_00001-22	6	二十	t9
A011n_PN4f_00001-22	45	五	t10
A011n_PN4f_00001-24	10	二十	t11
A011n_PN4f_00001-24	32	六	t12
A011n_PN4f_00001-24	37	二	t13
A011n_PN4f_00001-26	8	一	t14
A011n_PN4f_00001-28	5	昨年	t15
A011n_PN4f_00001-32	40	六	t16
A011n_PN4f_00001-33	5	二	t17
A011n_PN4f_00001-34	1	同月	t18
A011n_PN4f_00001-35	20	当時	
A011n_PN4f_00001-36	10	同年	t19
A011n_PN4f_00001-39	2	二十	t20
