time_sent_id	time_index	time_word	time_id
A037n_PN2d_00003-5	8	四	t1
A037n_PN2d_00003-7	10	三	t2
A037n_PN2d_00003-8	8	一	t3
A037n_PN2d_00003-11	2	午前	t4
A037n_PN2d_00003-11	9	十	t5
A037n_PN2d_00003-13	1	前週	t6
A037n_PN2d_00003-14	16	前週	t7
A037n_PN2d_00003-16	1	前週	t8
A037n_PN2d_00003-17	3	週末	t9
A037n_PN2d_00003-19	1	今後	t10
A037n_PN2d_00003-22	10	前週	t11
A037n_PN2d_00003-22	14	三	t12
A037n_PN2d_00003-23	16	今後	
A037n_PN2d_00003-26	22	午後	t13
A037n_PN2d_00003-28	2	四	t14
A037n_PN2d_00003-33	10	三	t15
A037n_PN2d_00003-34	1	四	t16
A037n_PN2d_00003-35	1	新	t17
A037n_PN2d_00003-37	2	四	t18
A037n_PN2d_00003-37	7	今年	t19
A037n_PN2d_00003-37	43	三	t20
A037n_PN2d_00003-39	16	一	t21
A037n_PN2d_00003-44	3	３	t22
A037n_PN2d_00003-45	3	４	t23
A037n_PN2d_00003-46	13	四	t24
A037n_PN2d_00003-46	28	五	t25
A037n_PN2d_00003-47	14	約	t26
A037n_PN2d_00003-48	4	昨年	t27
A037n_PN2d_00003-49	2	今後	t28
A037n_PN2d_00003-54	4	今年	t29
A037n_PN2d_00003-57	34	十	t30
A037n_PN2d_00003-58	2	一	t31
A037n_PN2d_00003-60	1	一	t32
