time_sent_id	time_index	time_word	time_id
A045n_PN5c_00003-11	2	１	t1
A045n_PN5c_00003-11	6	３	t2
A045n_PN5c_00003-11	32	４	t3
A045n_PN5c_00003-12	22	１	t4
A045n_PN5c_00003-13	14	何	t5
A045n_PN5c_00003-14	15	１	t6
A045n_PN5c_00003-16	2	１	t7
A045n_PN5c_00003-16	15	１	t8
A045n_PN5c_00003-17	10	６	t9
A045n_PN5c_00003-18	21	３	t10
A045n_PN5c_00003-19	5	４	t11
A045n_PN5c_00003-20	4	６	t12
A045n_PN5c_00003-20	15	５	t13
A045n_PN5c_00003-20	23	来年	t14
A045n_PN5c_00003-24	12	お	t15
A045n_PN5c_00003-31	1	一	t16
A045n_PN5c_00003-39	40	二	t17
A045n_PN5c_00003-40	71	５	t18
