time_sent_id	time_index	time_word	time_id
A054n_PN3b_00004-3	3	お	t1
A054n_PN3b_00004-4	7	新年	
A054n_PN3b_00004-5	3	お	t2
A054n_PN3b_00004-6	7	お	t3
A054n_PN3b_00004-12	19	４	t4
A054n_PN3b_00004-12	24	年末	t5
A054n_PN3b_00004-12	25	年始	t6
A054n_PN3b_00004-20	18	年明け	t7
A054n_PN3b_00004-24	1	１	t8
A054n_PN3b_00004-24	14	新年	
A054n_PN3b_00004-29	10	３	t9
A054n_PN3b_00004-30	2	お	t10
A054n_PN3b_00004-32	16	お	t11
A054n_PN3b_00004-33	7	正月	t12
A054n_PN3b_00004-34	2	昨年	t13
A054n_PN3b_00004-37	25	正月	t14
A054n_PN3b_00004-38	9	３	t15
A054n_PN3b_00004-38	31	年々	
A054n_PN3b_00004-39	18	お	t16
A054n_PN3b_00004-40	15	お	
A054n_PN3b_00004-41	2	数	t17
A054n_PN3b_00004-41	12	正月	t18
A054n_PN3b_00004-43	10	お	t19
A054n_PN3b_00004-49	1	お	t20
