time_sent_id	time_index	time_word	time_id
A007n_PN3g_00001-3	10	九	t1
A007n_PN3g_00001-11	1	６	t2
A007n_PN3g_00001-12	7	０	t3
A007n_PN3g_00001-14	1	６	t4
A007n_PN3g_00001-21	31	０	t5
A007n_PN3g_00001-22	20	０	t6
A007n_PN3g_00001-25	1	６	t7
A007n_PN3g_00001-26	10	０	t8
A007n_PN3g_00001-28	1	６	t9
A007n_PN3g_00001-34	1	今後	
A007n_PN3g_00001-36	31	０	t10
A007n_PN3g_00001-36	58	０	t11
A007n_PN3g_00001-39	1	６	t12
A007n_PN3g_00001-40	8	０	t13
A007n_PN3g_00001-42	1	６	t14
A007n_PN3g_00001-49	25	０	t15
A007n_PN3g_00001-52	1	６	t16
A007n_PN3g_00001-53	10	０	t17
A007n_PN3g_00001-55	1	６	t18
A007n_PN3g_00001-63	16	１	t19
A007n_PN3g_00001-63	24	０	t20
A007n_PN3g_00001-66	1	６	t21
A007n_PN3g_00001-67	11	０	t22
A007n_PN3g_00001-69	1	６	t23
A007n_PN3g_00001-76	2	０	t24
A007n_PN3g_00001-76	14	０	t25
A007n_PN3g_00001-77	17	０	t26
A007n_PN3g_00001-80	1	６	t27
A007n_PN3g_00001-81	9	０	t28
A007n_PN3g_00001-83	1	６	t29
A007n_PN3g_00001-88	15	０	t30
A007n_PN3g_00001-88	21	６	t31
A007n_PN3g_00001-89	21	０	t32
A007n_PN3g_00001-89	53	０	t33
A007n_PN3g_00001-92	1	６	t34
A007n_PN3g_00001-93	9	０	t35
A007n_PN3g_00001-95	1	６	t36
A007n_PN3g_00001-102	13	０	t37
A007n_PN3g_00001-103	22	０	t38
A007n_PN3g_00001-108	9	０	t39
A007n_PN3g_00001-110	1	６	t40
A007n_PN3g_00001-119	13	０	t41
A007n_PN3g_00001-122	1	６	t42
A007n_PN3g_00001-123	12	０	t43
A007n_PN3g_00001-125	1	６	t44
A007n_PN3g_00001-132	15	０	t45
A007n_PN3g_00001-132	45	０	t46
A007n_PN3g_00001-134	1	過去	
A007n_PN3g_00001-135	25	今年	t47
A007n_PN3g_00001-135	31	前年	t48
A007n_PN3g_00001-135	41	過去	
A007n_PN3g_00001-135	55	七	t49
A007n_PN3g_00001-138	25	前	t50
A007n_PN3g_00001-142	7	一	t51
A007n_PN3g_00001-142	56	前年	t52
