time_sent_id	time_index	time_word	time_id
A024n_PN3a_00002-1	3	９	t1
A024n_PN3a_00002-4	1	１	t2
A024n_PN3a_00002-4	17	０	t3
A024n_PN3a_00002-4	53	前年	t4
A024n_PN3a_00002-6	1	１	t5
A024n_PN3a_00002-6	7	１	t6
A024n_PN3a_00002-9	1	１	t7
A024n_PN3a_00002-9	7	１	t8
A024n_PN3a_00002-10	1	１	t9
A024n_PN3a_00002-10	7	１	t10
A024n_PN3a_00002-11	1	１	t11
A024n_PN3a_00002-11	23	３	t12
A024n_PN3a_00002-11	29	毎日	t13
A024n_PN3a_00002-14	1	２	t14
A024n_PN3a_00002-14	7	１	t15
A024n_PN3a_00002-15	1	２	t16
A024n_PN3a_00002-15	7	１	t17
A024n_PN3a_00002-17	1	２	t18
A024n_PN3a_00002-17	7	１	t19
A024n_PN3a_00002-17	35	今	t20
A024n_PN3a_00002-18	1	２	t21
A024n_PN3a_00002-19	1	２	t22
A024n_PN3a_00002-19	7	１	t23
A024n_PN3a_00002-19	15	３	t24
A024n_PN3a_00002-20	1	２	t25
A024n_PN3a_00002-20	31	９	t26
A024n_PN3a_00002-21	1	２	t27
A024n_PN3a_00002-21	7	１	t28
A024n_PN3a_00002-25	1	２	t29
A024n_PN3a_00002-25	7	１	t30
A024n_PN3a_00002-26	1	２	t31
A024n_PN3a_00002-26	7	１	t32
A024n_PN3a_00002-28	1	２	t33
A024n_PN3a_00002-28	7	９	t34
A024n_PN3a_00002-29	1	２	t35
A024n_PN3a_00002-29	7	１	t36
A024n_PN3a_00002-31	1	２	t37
A024n_PN3a_00002-31	7	１	t38
A024n_PN3a_00002-35	1	２	t39
A024n_PN3a_00002-35	7	１	t40
A024n_PN3a_00002-39	8	９	t41
A024n_PN3a_00002-39	18	午後	t42
A024n_PN3a_00002-40	15	１	t43
A024n_PN3a_00002-40	19	９	t44
A024n_PN3a_00002-44	7	２	t45
