time_sent_id	time_index	time_word	time_id
A012n_PN4g_00001-3	3	１	t1
A012n_PN4g_00001-4	5	十	t2
A012n_PN4g_00001-6	5	昨年	t3
A012n_PN4g_00001-10	13	三	t4
A012n_PN4g_00001-11	18	二	t5
A012n_PN4g_00001-14	3	１	t6
A012n_PN4g_00001-15	6	十	t7
A012n_PN4g_00001-16	4	同日	t8
A012n_PN4g_00001-18	4	五	t9
A012n_PN4g_00001-21	3	１	t10
A012n_PN4g_00001-22	6	十	t11
A012n_PN4g_00001-23	45	今後	
A012n_PN4g_00001-26	3	１	t12
A012n_PN4g_00001-27	23	十	t13
A012n_PN4g_00001-29	7	一	t14
A012n_PN4g_00001-29	12	九	t15
A012n_PN4g_00001-32	3	１	t16
A012n_PN4g_00001-33	6	十	t17
A012n_PN4g_00001-34	10	九	t18
A012n_PN4g_00001-35	20	今年	t19
A012n_PN4g_00001-35	24	九	t20
A012n_PN4g_00001-36	5	今月	t21
