time_sent_id	time_index	time_word	time_id
A016n_PN1e_00002-3	4	九	t1
A016n_PN1e_00002-6	2	一	t2
A016n_PN1e_00002-6	23	二	t3
A016n_PN1e_00002-7	1	〇	t4
A016n_PN1e_00002-7	4	〇	t5
A016n_PN1e_00002-7	8	三	t6
A016n_PN1e_00002-8	4	七	t7
A016n_PN1e_00002-8	25	年間	
A016n_PN1e_00002-14	31	九	t8
A016n_PN1e_00002-17	12	来	t9
A016n_PN1e_00002-17	24	現在	
A016n_PN1e_00002-19	5	十	t10
A016n_PN1e_00002-19	10	秋	
A016n_PN1e_00002-19	32	九	t11
A016n_PN1e_00002-20	10	十	t12
A016n_PN1e_00002-21	23	十	t13
A016n_PN1e_00002-25	29	九	t14
A016n_PN1e_00002-29	44	二	t15
A016n_PN1e_00002-30	5	十	t16
A016n_PN1e_00002-30	13	十	t17
A016n_PN1e_00002-31	10	９	t18
A016n_PN1e_00002-35	16	九	t19
