time_sent_id	time_index	time_word	time_id
A013n_PN1a_00002-3	5	５	t1
A013n_PN1a_00002-4	7	１	t2
A013n_PN1a_00002-6	1	昔	
A013n_PN1a_00002-6	12	最近	
A013n_PN1a_00002-6	16	５	t3
A013n_PN1a_00002-10	12	昨年	t4
A013n_PN1a_00002-13	4	５	t5
A013n_PN1a_00002-13	18	２	t6
A013n_PN1a_00002-14	1	６	t7
A013n_PN1a_00002-14	5	６	t8
A013n_PN1a_00002-15	2	来年	t9
A013n_PN1a_00002-15	5	５	t10
A013n_PN1a_00002-17	10	６	t11
A013n_PN1a_00002-21	11	今年	t12
A013n_PN1a_00002-28	10	昨年	t13
A013n_PN1a_00002-30	31	今後	t14
A013n_PN1a_00002-31	13	夏休み	
A013n_PN1a_00002-32	4	昨年	t15
A013n_PN1a_00002-35	7	３	t16
A013n_PN1a_00002-35	30	１	t17
A013n_PN1a_00002-36	24	５	t18
A013n_PN1a_00002-38	2	今	t19
A013n_PN1a_00002-43	17	明治	t20
A013n_PN1a_00002-44	15	明治	t21
A013n_PN1a_00002-45	6	今	
A013n_PN1a_00002-49	1	１	t22
A013n_PN1a_00002-49	7	半日	t23
A013n_PN1a_00002-50	10	３	t24
A013n_PN1a_00002-53	20	午後	t25
A013n_PN1a_00002-54	1	１	t26
A013n_PN1a_00002-57	9	３	t27
A013n_PN1a_00002-58	3	今年	t28
A013n_PN1a_00002-70	11	５	t29
A013n_PN1a_00002-71	2	昔	t30
A013n_PN1a_00002-72	1	今	t31
A013n_PN1a_00002-74	9	４	t32
A013n_PN1a_00002-75	2	今	t33
A013n_PN1a_00002-76	6	今日	t34
A013n_PN1a_00002-78	9	４	t35
A013n_PN1a_00002-81	3	最近	
A013n_PN1a_00002-83	11	３	t36
A013n_PN1a_00002-91	6	３	t37
A013n_PN1a_00002-91	9	５	t38
