time_sent_id	time_index	time_word	time_id
A043n_PN5a_00003-8	6	０	t1
A043n_PN5a_00003-8	9	１	t2
A043n_PN5a_00003-8	14	９	t3
A043n_PN5a_00003-21	16	０	t4
A043n_PN5a_00003-21	28	０	t5
A043n_PN5a_00003-21	43	１	t6
A043n_PN5a_00003-25	4	２	t7
A043n_PN5a_00003-25	19	０	t8
A043n_PN5a_00003-31	6	０	t9
A043n_PN5a_00003-32	3	２	t10
A043n_PN5a_00003-33	9	週	t11
A043n_PN5a_00003-50	13	年間	
A043n_PN5a_00003-51	1	１	t12
A043n_PN5a_00003-51	5	正午	t13
A043n_PN5a_00003-51	8	数	t14
A043n_PN5a_00003-52	21	年	t15
A043n_PN5a_00003-52	37	年	t16
A043n_PN5a_00003-54	6	夏	
A043n_PN5a_00003-55	1	午前	t17
A043n_PN5a_00003-55	5	午後	t18
A043n_PN5a_00003-55	14	年	
A043n_PN5a_00003-57	22	一	t19
A043n_PN5a_00003-58	6	１	t20
A043n_PN5a_00003-58	10	年間	
A043n_PN5a_00003-59	4	９	t21
A043n_PN5a_00003-59	7	９	t22
A043n_PN5a_00003-59	27	現在	t23
A043n_PN5a_00003-61	6	１	t24
