time_sent_id	time_index	time_word	time_id
A046n_PN1b_00004-9	17	４	t1
A046n_PN1b_00004-12	7	９	t2
A046n_PN1b_00004-14	2	今	t3
A046n_PN1b_00004-16	4	今	
A046n_PN1b_00004-19	2	今	t4
A046n_PN1b_00004-34	1	今	
A046n_PN1b_00004-39	1	９	t5
A046n_PN1b_00004-39	10	１	t6
A046n_PN1b_00004-42	1	昨年	t7
A046n_PN1b_00004-42	3	今ごろ	
A046n_PN1b_00004-73	1	９	t8
A046n_PN1b_00004-73	20	同年	t9
A046n_PN1b_00004-73	30	今年	t10
A046n_PN1b_00004-77	1	今	t11
A046n_PN1b_00004-93	11	９	t12
A046n_PN1b_00004-100	1	８	t13
A046n_PN1b_00004-103	1	今	t14
A046n_PN1b_00004-107	6	１	t15
A046n_PN1b_00004-109	8	９	t16
