time_sent_id	time_index	time_word	time_id
A028n_PN4c_00002-2	1	来年	t1
A028n_PN4c_00002-4	2	二	t2
A028n_PN4c_00002-4	18	今年	t3
A028n_PN4c_00002-4	21	昨年	t4
A028n_PN4c_00002-4	30	来年	t5
A028n_PN4c_00002-7	9	今年	
A028n_PN4c_00002-7	26	年末	t7
A028n_PN4c_00002-7	33	十	t8
A028n_PN4c_00002-8	21	毎年	t9
A028n_PN4c_00002-8	26	十	t10
A028n_PN4c_00002-9	4	来年	t11
A028n_PN4c_00002-9	38	八	t12
A028n_PN4c_00002-9	44	九	t13
A028n_PN4c_00002-9	46	十	t14
A028n_PN4c_00002-10	9	八	t15
A028n_PN4c_00002-10	19	九	t16
A028n_PN4c_00002-10	21	十	t17
A028n_PN4c_00002-10	31	十	t18
A028n_PN4c_00002-11	2	二	t19
A028n_PN4c_00002-11	27	二	t20
A028n_PN4c_00002-11	35	十	t21
A028n_PN4c_00002-13	5	年	
A028n_PN4c_00002-14	7	三十	t22
A028n_PN4c_00002-14	20	今年	t23
A028n_PN4c_00002-14	23	来年	t24
A028n_PN4c_00002-15	2	今年	t25
A028n_PN4c_00002-15	18	十	t26
A028n_PN4c_00002-16	6	来年	t27
A028n_PN4c_00002-16	9	十	t28
A028n_PN4c_00002-17	4	今年	t29
A028n_PN4c_00002-17	7	来年	t30
A028n_PN4c_00002-18	1	一	t31
A028n_PN4c_00002-18	5	年末	t32
A028n_PN4c_00002-18	16	来年	t33
A028n_PN4c_00002-18	23	八	t34
A028n_PN4c_00002-18	27	今年	t35
A028n_PN4c_00002-18	33	九	t36
A028n_PN4c_00002-18	37	十	t37
A028n_PN4c_00002-19	15	二	t38
A028n_PN4c_00002-21	2	年末	t39
A028n_PN4c_00002-21	16	九	t40
A028n_PN4c_00002-21	26	十	t41
A028n_PN4c_00002-21	44	九	t42
A028n_PN4c_00002-21	46	十	t43
A028n_PN4c_00002-21	56	二	t44
A028n_PN4c_00002-22	1	十	t45
A028n_PN4c_00002-24	16	二	t46
A028n_PN4c_00002-24	24	六	t47
A028n_PN4c_00002-25	1	前年	t48
A028n_PN4c_00002-26	11	年内	t49
A028n_PN4c_00002-29	6	３	t50
A028n_PN4c_00002-31	18	６	t51
A028n_PN4c_00002-32	1	今年	t52
A028n_PN4c_00002-32	10	年	t53
A028n_PN4c_00002-32	16	６	t54
A028n_PN4c_00002-32	29	来年	t55
A028n_PN4c_00002-32	42	昨年	t56
A028n_PN4c_00002-32	51	今年	t57
A028n_PN4c_00002-32	55	昨年	t58
A028n_PN4c_00002-32	64	２	t59
A028n_PN4c_00002-36	1	５	t60
A028n_PN4c_00002-36	5	７	t61
A028n_PN4c_00002-37	27	１	t62
A028n_PN4c_00002-37	33	７	t63
A028n_PN4c_00002-37	39	２	t64
A028n_PN4c_00002-37	45	１	t65
A028n_PN4c_00002-39	2	５	t66
A028n_PN4c_00002-39	19	１	t67
A028n_PN4c_00002-40	7	５	t68
