time_sent_id	time_index	time_word	time_id
A014n_PN1b_00002-3	23	１	t1
A014n_PN1b_00002-3	29	過去	t2
A014n_PN1b_00002-4	1	前	t3
A014n_PN1b_00002-9	8	前	t4
A014n_PN1b_00002-12	32	今春	t5
A014n_PN1b_00002-12	39	２	t6
A014n_PN1b_00002-12	41	３	t7
A014n_PN1b_00002-15	2	２	t8
A014n_PN1b_00002-15	7	（	t9
A014n_PN1b_00002-15	20	１	t10
A014n_PN1b_00002-15	23	（	t11
A014n_PN1b_00002-15	33	１	t12
A014n_PN1b_00002-15	36	（	t13
A014n_PN1b_00002-15	52	１	t14
A014n_PN1b_00002-15	55	（	t15
A014n_PN1b_00002-15	71	２	t16
A014n_PN1b_00002-15	74	（	t17
A014n_PN1b_00002-15	93	２	t18
A014n_PN1b_00002-15	96	（	t19
A014n_PN1b_00002-15	114	３	t20
A014n_PN1b_00002-15	118	（	t21
A014n_PN1b_00002-15	133	４	t22
A014n_PN1b_00002-15	135	（	t23
A014n_PN1b_00002-16	2	土曜	t24
A014n_PN1b_00002-16	5	正午	t25
A014n_PN1b_00002-16	7	午後	t26
A014n_PN1b_00002-16	11	日曜	t27
A014n_PN1b_00002-16	14	午前	t28
A014n_PN1b_00002-16	20	午後	t29
A014n_PN1b_00002-24	2	今年	
A014n_PN1b_00002-24	12	夏	
A014n_PN1b_00002-25	19	将来	
A014n_PN1b_00002-25	24	前	
A014n_PN1b_00002-26	1	２	t30
A014n_PN1b_00002-27	10	２	t31
A014n_PN1b_00002-30	2	１	t32
A014n_PN1b_00002-30	19	１	t33
A014n_PN1b_00002-36	17	昨年	t34
A014n_PN1b_00002-36	24	７	t35
A014n_PN1b_00002-37	26	２	t36
