time_sent_id	time_index	time_word	time_id
A003n_PN1e_00001-3	34	一	
A003n_PN1e_00001-11	2	２	t1
A003n_PN1e_00001-19	1	２	t2
A003n_PN1e_00001-20	2	３	t3
A003n_PN1e_00001-22	6	二十	t4
A003n_PN1e_00001-22	10	二	t5
A003n_PN1e_00001-23	1	前年	t6
A003n_PN1e_00001-23	36	三	t7
A003n_PN1e_00001-25	2	昨年	t8
A003n_PN1e_00001-26	19	前年	
A003n_PN1e_00001-26	35	三	t9
A003n_PN1e_00001-27	23	四	t10
A003n_PN1e_00001-30	8	９	t11
A003n_PN1e_00001-30	18	９	t12
A003n_PN1e_00001-34	1	１	t13
A003n_PN1e_00001-35	5	二十	t14
A003n_PN1e_00001-35	9	今年	t15
