time_sent_id	time_index	time_word	time_id
A040n_PN3b_00003-4	6	９	t1
A040n_PN3b_00003-4	14	７	t2
A040n_PN3b_00003-4	19	２	t3
A040n_PN3b_00003-5	19	０	t4
A040n_PN3b_00003-9	10	今月	t5
A040n_PN3b_00003-9	14	２	t6
A040n_PN3b_00003-9	30	今月	t7
A040n_PN3b_00003-13	3	８	t8
A040n_PN3b_00003-19	11	８	t9
A040n_PN3b_00003-25	15	１	t10
A040n_PN3b_00003-27	14	８	t11
A040n_PN3b_00003-28	5	前日	t12
A040n_PN3b_00003-30	5	週末	t13
A040n_PN3b_00003-38	2	昨年	
A040n_PN3b_00003-38	4	３	t14
A040n_PN3b_00003-38	13	６	t15
A040n_PN3b_00003-38	41	１	t16
A040n_PN3b_00003-38	44	１	t17
A040n_PN3b_00003-38	59	９	t18
A040n_PN3b_00003-39	1	約	t19
