time_sent_id	time_index	time_word	time_id
A015n_PN1d_00002-1	6	３	
A015n_PN1d_00002-2	5	９	t1
A015n_PN1d_00002-2	10	４	t2
A015n_PN1d_00002-2	32	前月	t3
A015n_PN1d_00002-2	48	３	t4
A015n_PN1d_00002-4	18	１	t5
A015n_PN1d_00002-7	16	８	t6
A015n_PN1d_00002-7	47	１	t7
A015n_PN1d_00002-7	65	１	t8
A015n_PN1d_00002-10	5	９	t9
A015n_PN1d_00002-10	13	１	t10
A015n_PN1d_00002-11	6	今年	t11
A015n_PN1d_00002-15	6	９	t12
A015n_PN1d_00002-15	34	年	
A015n_PN1d_00002-16	1	１	t13
A015n_PN1d_00002-17	5	今年	t14
A015n_PN1d_00002-17	9	４	t15
A015n_PN1d_00002-17	14	過去	
A015n_PN1d_00002-18	5	３	t16
A015n_PN1d_00002-19	8	９	t17
A015n_PN1d_00002-19	13	２	t18
A015n_PN1d_00002-19	28	前	
A015n_PN1d_00002-19	50	３	t19
A015n_PN1d_00002-21	6	３	t20
A015n_PN1d_00002-21	28	前年	t21
A015n_PN1d_00002-24	5	９	t22
A015n_PN1d_00002-24	34	５	t23
A015n_PN1d_00002-27	13	８	t24
A015n_PN1d_00002-27	16	今年	t25
A015n_PN1d_00002-27	31	前年	
A015n_PN1d_00002-28	1	昨年	t26
