time_sent_id	time_index	time_word	time_id
A006n_PN3b_00001-6	4	この	t1
A006n_PN3b_00001-11	14	１	
A006n_PN3b_00001-12	21	週	t2
A006n_PN3b_00001-14	13	午前	t3
A006n_PN3b_00001-14	18	１	t4
A006n_PN3b_00001-17	5	昨年	
A006n_PN3b_00001-17	12	２	t5
A006n_PN3b_00001-18	6	５	t6
A006n_PN3b_00001-19	45	毎月	t7
A006n_PN3b_00001-27	13	５	t8
A006n_PN3b_00001-29	1	約	t9
A006n_PN3b_00001-34	6	３	t10
A006n_PN3b_00001-36	2	９	
A006n_PN3b_00001-36	42	６	t11
A006n_PN3b_00001-36	51	２	t12
A006n_PN3b_00001-36	56	４	t13
A006n_PN3b_00001-36	63	０	t14
A006n_PN3b_00001-36	75	３	t15
A006n_PN3b_00001-42	33	今月	t16
A006n_PN3b_00001-43	13	５	t17
A006n_PN3b_00001-43	57	９	t18
