time_sent_id	time_index	time_word	time_id
A048n_PN1d_00004-2	5	１	t1
A048n_PN1d_00004-4	29	四	t2
A048n_PN1d_00004-4	38	三十	t3
A048n_PN1d_00004-4	76	十	t4
A048n_PN1d_00004-6	22	平成	t5
A048n_PN1d_00004-8	2	六	t6
A048n_PN1d_00004-8	7	同年	t7
A048n_PN1d_00004-11	18	三十	t8
A048n_PN1d_00004-12	2	この	t9
A048n_PN1d_00004-13	4	六	t10
A048n_PN1d_00004-13	11	九	t11
A048n_PN1d_00004-15	7	今年	t12
A048n_PN1d_00004-15	16	現在	t13
A048n_PN1d_00004-20	13	六	t14
A048n_PN1d_00004-20	21	三十	t15
A048n_PN1d_00004-20	30	五	t16
A048n_PN1d_00004-21	8	この	t17
