time_sent_id	time_index	time_word	time_id
A004n_PN1f_00001-2	11	２	t1
A004n_PN1f_00001-2	18	１	t2
A004n_PN1f_00001-6	1	２	t3
A004n_PN1f_00001-8	9	２	t4
A004n_PN1f_00001-13	14	２	t5
A004n_PN1f_00001-13	17	２	t6
A004n_PN1f_00001-13	20	前	t7
A004n_PN1f_00001-13	24	後	t8
A004n_PN1f_00001-13	28	２	t9
A004n_PN1f_00001-13	32	後	t10
A004n_PN1f_00001-13	37	２	t11
A004n_PN1f_00001-13	41	後	t12
A004n_PN1f_00001-14	7	２	t13
A004n_PN1f_00001-14	14	２	t14
A004n_PN1f_00001-17	10	１	t15
A004n_PN1f_00001-17	13	２	t16
A004n_PN1f_00001-17	16	前	t17
A004n_PN1f_00001-17	20	後	t18
A004n_PN1f_00001-17	24	１	t19
A004n_PN1f_00001-17	28	後	t20
A004n_PN1f_00001-18	28	１	t21
A004n_PN1f_00001-18	33	１	t22
A004n_PN1f_00001-21	14	１	t23
A004n_PN1f_00001-21	20	前	t24t23
A004n_PN1f_00001-21	24	後	t25t23
A004n_PN1f_00001-24	1	２	t26
A004n_PN1f_00001-24	5	１	t27
A004n_PN1f_00001-24	11	後	t28t26
A004n_PN1f_00001-26	1	水曜	
A004n_PN1f_00001-28	8	２	t29
A004n_PN1f_00001-28	18	１	t30
A004n_PN1f_00001-29	3	前	t31t29
A004n_PN1f_00001-29	7	後	t32t29
A004n_PN1f_00001-31	1	後	t33t29
A004n_PN1f_00001-36	1	２	t34
