time_sent_id	time_index	time_word	time_id
A008n_PN4a_00001-4	16	最近	
A008n_PN4a_00001-8	2	きょう	t1
A008n_PN4a_00001-8	9	明日	t2
A008n_PN4a_00001-9	9	２	t3
A008n_PN4a_00001-10	2	昨年	t4
A008n_PN4a_00001-16	33	２	t5
A008n_PN4a_00001-17	2	昨年	t6
A008n_PN4a_00001-21	2	先月	t7
A008n_PN4a_00001-21	29	２	t8
A008n_PN4a_00001-30	6	昨年	t9
A008n_PN4a_00001-32	18	２	t10
A008n_PN4a_00001-33	4	いま	
A008n_PN4a_00001-35	3	３	
A008n_PN4a_00001-35	6	４	
A008n_PN4a_00001-36	5	昨年	t11
A008n_PN4a_00001-39	7	毎年	t12
A008n_PN4a_00001-49	15	数	
