time_sent_id	time_index	time_word	time_id
A017n_PN1f_00002-3	2	二十	t1
A017n_PN1f_00002-3	20	四	t2
A017n_PN1f_00002-3	27	二	t3
A017n_PN1f_00002-4	20	四	t4
A017n_PN1f_00002-4	26	七	t5
A017n_PN1f_00002-4	36	二	t6
A017n_PN1f_00002-11	2	二十	t7
A017n_PN1f_00002-11	38	四	t8
A017n_PN1f_00002-14	1	三十	t9
A017n_PN1f_00002-17	29	二十	t10
A017n_PN1f_00002-17	58	二	t11
A017n_PN1f_00002-19	10	三	t12
A017n_PN1f_00002-19	43	二	t13
A017n_PN1f_00002-20	6	二十	t14
A017n_PN1f_00002-22	5	三	t15
A017n_PN1f_00002-22	18	同月	t16
A017n_PN1f_00002-23	9	一	t17
A017n_PN1f_00002-23	14	平成	t18
A017n_PN1f_00002-23	21	今年	t19
A017n_PN1f_00002-25	2	二十	t20
A017n_PN1f_00002-25	27	七	t21
A017n_PN1f_00002-26	3	約	t22
A017n_PN1f_00002-26	8	同	
A017n_PN1f_00002-26	30	七	t23
A017n_PN1f_00002-28	4	同	t24
A017n_PN1f_00002-28	33	七	t25
