time_sent_id	time_index	time_word	time_id
A049n_PN1e_00004-5	19	初日	t1
A049n_PN1e_00004-10	1	二	t2
A049n_PN1e_00004-12	2	昨年	t3
A049n_PN1e_00004-16	6	翌日	
A049n_PN1e_00004-17	6	二	t4
A049n_PN1e_00004-23	8	初日	t5
A049n_PN1e_00004-23	12	この	t6
A049n_PN1e_00004-31	2	昨年	t7
A049n_PN1e_00004-32	2	一	t8
A049n_PN1e_00004-39	8	初日	t9
A049n_PN1e_00004-39	10	十	t10
A049n_PN1e_00004-43	6	一	t11
A049n_PN1e_00004-43	26	一	t12
A049n_PN1e_00004-43	48	一	t13
A049n_PN1e_00004-43	70	一	t14
A049n_PN1e_00004-43	90	一	t15
A049n_PN1e_00004-44	1	３	t16
A049n_PN1e_00004-46	16	２	t17
A049n_PN1e_00004-46	23	夏	t18
A049n_PN1e_00004-46	27	秋	t19
A049n_PN1e_00004-46	31	２	t20
A049n_PN1e_00004-49	3	１	t21
A049n_PN1e_00004-50	17	十	t22
A049n_PN1e_00004-51	15	３	t23
A049n_PN1e_00004-53	6	１	t24
A049n_PN1e_00004-54	9	十	t25
A049n_PN1e_00004-55	18	３	t26
A049n_PN1e_00004-59	8	十	t27
A049n_PN1e_00004-63	3	１	t28
A049n_PN1e_00004-64	15	十	t29
