time_sent_id	time_index	time_word	time_id
A047n_PN1c_00004-2	1	２	t1
A047n_PN1c_00004-9	3	六	t2
A047n_PN1c_00004-9	9	〇	t3
A047n_PN1c_00004-11	5	将来	
A047n_PN1c_00004-12	7	数	
A047n_PN1c_00004-13	37	九	t4
A047n_PN1c_00004-17	2	八	t5
A047n_PN1c_00004-17	24	毎年	t6
A047n_PN1c_00004-18	11	毎年	
A047n_PN1c_00004-19	10	当時	
A047n_PN1c_00004-19	22	二	t7
A047n_PN1c_00004-21	20	年間	t8
A047n_PN1c_00004-32	21	９	t9
A047n_PN1c_00004-35	5	３	t10
A047n_PN1c_00004-38	2	今春	t11
A047n_PN1c_00004-39	17	２	t12
A047n_PN1c_00004-40	1	今春	t13
A047n_PN1c_00004-43	1	１	t14
A047n_PN1c_00004-46	23	９	t15
