time_sent_id	time_index	time_word	time_id
A020n_PN2c_00002-2	9	前	t1
A020n_PN2c_00002-2	23	夏	
A020n_PN2c_00002-3	6	２	t2
A020n_PN2c_00002-3	13	後	t3
A020n_PN2c_00002-6	10	後	t4
A020n_PN2c_00002-6	20	４	t5
A020n_PN2c_00002-7	10	後	t6
A020n_PN2c_00002-7	17	１	t7
A020n_PN2c_00002-8	10	後	t8
A020n_PN2c_00002-10	12	後	t9
A020n_PN2c_00002-11	3	２	t10
A020n_PN2c_00002-14	53	十	t11
A020n_PN2c_00002-15	6	同日	t12
A020n_PN2c_00002-16	29	昨年	t13
A020n_PN2c_00002-18	1	三	t14
A020n_PN2c_00002-18	3	四	t15
A020n_PN2c_00002-18	20	二	t16
A020n_PN2c_00002-19	5	二	t17
A020n_PN2c_00002-21	3	１	t18
A020n_PN2c_00002-22	2	十	t19
A020n_PN2c_00002-23	39	五	t20
A020n_PN2c_00002-27	46	十	t21
A020n_PN2c_00002-28	4	昨年	t22
