time_sent_id	time_index	time_word	time_id
A034n_PN1d_00003-3	27	三	t1
A034n_PN1d_00003-3	48	十	t2
A034n_PN1d_00003-4	12	四	t3
A034n_PN1d_00003-5	9	今年	t4
A034n_PN1d_00003-5	14	三	t5
A034n_PN1d_00003-6	5	今年	t6
A034n_PN1d_00003-7	1	翌	t7
A034n_PN1d_00003-7	5	年	
A034n_PN1d_00003-11	2	十	t8
A034n_PN1d_00003-15	20	二	
A034n_PN1d_00003-15	26	一	t9
A034n_PN1d_00003-15	35	二	
A034n_PN1d_00003-15	41	一	t10
A034n_PN1d_00003-16	4	五	t11
A034n_PN1d_00003-21	22	十	t12
A034n_PN1d_00003-21	49	五	t13
A034n_PN1d_00003-22	12	四	t14
A034n_PN1d_00003-23	16	平成	
A034n_PN1d_00003-23	31	五	t15
A034n_PN1d_00003-25	2	１	t16
A034n_PN1d_00003-25	17	１	t17
A034n_PN1d_00003-25	30	５	t18
A034n_PN1d_00003-27	18	１	t19
A034n_PN1d_00003-29	4	７	t20
A034n_PN1d_00003-30	10	６	t21
A034n_PN1d_00003-35	3	１	t22
A034n_PN1d_00003-36	83	十	
