event1_sent_id	root1_index	root1_word	root1
A015n_PN1d_00002-1	9	増	root1
A015n_PN1d_00002-2	54	転じ	root1
A015n_PN1d_00002-3	25	主因	root1
A015n_PN1d_00002-4	24	一	root1
A015n_PN1d_00002-5	10	中国	root1
A015n_PN1d_00002-6	9	方針	root1
A015n_PN1d_00002-7	91	示し	root1
A015n_PN1d_00002-8	3	達士	root1
A015n_PN1d_00002-9	7	開発	root1
A015n_PN1d_00002-10	43	し	root1
A015n_PN1d_00002-11	13	する	root1
A015n_PN1d_00002-12	32	仕組み	root1
A015n_PN1d_00002-13	25	いう	root1
A015n_PN1d_00002-14	11	下げ	root1
A015n_PN1d_00002-15	44	し	root1
A015n_PN1d_00002-16	6	する	root1
A015n_PN1d_00002-17	19	する	root1
A015n_PN1d_00002-18	8	増加	root1
A015n_PN1d_00002-19	55	し	root1
A015n_PN1d_00002-20	15	し	root1
A015n_PN1d_00002-21	36	微増	root1
A015n_PN1d_00002-22	16	なっ	root1
A015n_PN1d_00002-23	5	販売	root1
A015n_PN1d_00002-24	42	し	root1
A015n_PN1d_00002-25	22	かから	root1
A015n_PN1d_00002-26	12	減少	root1
A015n_PN1d_00002-27	45	し	root1
A015n_PN1d_00002-28	16	増	root1
